Datasets;SCV1V1;SVC1VA;SVR;CSSVC;SVMOP;NNOP;ELMOP;POM;NNPOM;SVOREX;SVORIM;SVORLin;KDLOR;GPOR;REDSVM;ORBALL
P5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
M5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
H5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
S5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
A5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
B5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
BB5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
C5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
CC5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
CH5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
CE5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
CEE5;1;2;5;6,66667;8,66667;10,66667;12,66667;14,66667;16,66667;18,66667;20,66667;22,66667;24,66667;26,66667;28,66667;30,66667
