Datasets;SCV1V1;SVC1VA;SVR;CSSVC;SVMOP;NNOP;ELMOP;POM;NNPOM;SVOREX;SVORIM;SVORLin;KDLOR;GPOR;REDSVM;ORBALL
P5;0.790.13;0.750.18;0.660.14;0.740.15;0.690.16;0.910.21;1.120.26;0.700.20;0.960.21;0.660.12;0.630.11;0.640.14;0.670.19;0.650.13;0.640.14;0.730.10
M5;0.470.08;0.550.08;0.480.09;0.550.10;0.460.08;0.460.07;0.450.09;0.430.08;0.490.07;0.470.07;0.440.10;0.430.07;0.490.10;0.440.07;0.460.09;0.410.08
H5;0.410.05;0.440.04;0.380.04;0.440.04;0.400.04;0.410.03;0.420.04;0.400.02;0.450.05;0.360.03;0.360.03;0.400.02;0.390.05;0.340.04;0.360.03;0.360.03
S5;0.110.01;0.110.01;0.120.02;0.110.02;0.110.02;0.130.02;0.110.01;0.390.02;0.120.02;0.110.01;0.110.02;0.390.02;0.110.01;0.110.01;0.110.02;0.100.01
A5;0.710.02;0.790.02;0.660.01;0.780.02;0.670.01;0.660.01;0.670.01;0.690.01;0.700.01;0.660.01;0.650.01;0.690.01;0.760.02;0.680.01;0.650.01;0.670.01
B5;0.500.08;0.670.09;0.360.05;0.670.07;0.470.04;1.130.19;0.690.10;0.280.03;1.320.19;0.280.03;0.280.03;0.280.03;0.330.06;0.270.02;0.280.03;0.340.03
BB5;1.180.07;1.180.05;0.940.08;1.190.07;1.090.07;1.400.06;1.300.15;0.980.09;1.470.09;0.940.08;0.920.07;0.930.07;0.950.08;0.830.08;0.930.07;0.890.05
C5;0.510.03;0.590.05;0.490.03;0.570.04;0.500.03;0.500.03;0.550.04;0.430.02;0.560.06;0.450.05;0.450.04;0.440.01;0.520.06;0.430.02;0.440.04;0.520.04
CC5;0.430.05;0.500.03;0.400.02;0.500.03;0.420.04;0.490.20;0.530.06;0.380.03;0.480.03;0.370.02;0.370.01;0.370.02;0.440.04;0.350.02;0.370.02;0.480.05
CH5;0.660.04;0.750.04;0.630.03;0.750.04;0.640.03;0.650.03;0.700.03;0.590.01;0.670.05;0.600.02;0.600.02;0.600.02;0.650.04;0.620.03;0.590.02;0.640.02
CE5;0.790.03;0.860.04;0.760.03;0.870.05;0.770.03;0.810.03;0.800.03;0.730.02;0.870.05;0.740.03;0.730.02;0.730.02;0.790.04;0.740.02;0.730.02;0.790.03
CEE5;0.810.03;0.880.08;0.740.02;0.860.04;0.790.04;0.870.04;0.830.03;0.780.03;0.930.04;0.740.03;0.720.03;0.780.03;0.740.03;0.740.02;0.720.03;0.730.01
RD5;10.7500;13.9167;7.3333;12.9167;8.7500;11.8333;12.2500;6.7500;14.3333;5.6667;3.2500;5.8333;8.9167;3.5833;3.5000;6.4167
P10;1.880.40;1.880.35;1.430.22;1.820.43;1.460.30;1.770.37;2.080.53;1.540.29;2.200.80;1.440.23;1.390.19;1.470.24;1.430.26;1.550.24;1.320.19;1.530.22
M10;1.050.14;1.140.15;1.030.15;1.110.16;0.990.09;0.940.16;0.920.12;0.920.11;1.120.15;0.960.12;0.920.13;0.910.11;1.090.20;0.970.11;0.920.11;0.910.12
H10;0.890.08;1.070.09;0.800.06;1.030.09;0.880.06;0.870.07;0.900.06;0.880.05;0.950.11;0.780.06;0.770.06;0.890.05;0.840.06;0.760.05;0.760.07;0.760.06
S10;0.220.02;0.220.02;0.240.02;0.230.02;0.220.02;0.270.04;0.250.02;0.820.03;0.270.03;0.230.02;0.240.02;0.800.04;0.240.02;0.250.02;0.230.02;0.240.02
A10;1.560.03;1.730.06;1.380.02;1.740.03;1.430.03;1.380.02;1.390.02;1.450.01;1.490.02;1.470.02;1.360.02;1.440.02;1.640.04;1.490.02;1.360.02;1.400.02
B10;1.470.28;1.620.09;0.720.11;1.640.16;0.980.06;2.240.58;1.460.29;0.540.03;2.870.43;0.590.05;0.570.03;0.560.03;0.630.10;0.570.03;0.560.05;0.670.04
BB10;2.510.10;2.600.18;1.910.12;2.580.14;2.270.19;2.910.10;2.560.30;1.980.14;3.000.13;1.920.14;1.880.13;1.920.17;1.920.12;1.830.18;1.880.13;1.830.10
C10;1.150.06;1.300.11;0.990.05;1.280.13;1.060.05;1.060.06;1.180.06;0.870.03;1.160.10;0.930.05;0.900.03;0.880.03;1.080.10;0.920.04;0.900.04;1.040.06
CC10;0.940.05;1.140.06;0.830.05;1.120.07;0.890.05;0.920.05;1.040.10;0.750.04;1.050.12;0.790.06;0.760.05;0.750.03;0.970.10;0.740.03;0.760.03;0.960.09
CH10;1.460.06;1.670.08;1.270.04;1.630.07;1.370.06;1.340.06;1.430.05;1.230.04;1.400.11;1.310.05;1.250.04;1.240.04;1.410.10;1.300.06;1.250.04;1.310.03
CE10;1.770.09;1.910.12;1.550.04;1.920.17;1.640.06;1.720.07;1.650.06;1.540.06;1.860.11;1.650.07;1.510.04;1.530.06;1.750.12;1.610.06;1.500.05;1.640.07
CEE10;1.760.05;1.920.06;1.530.05;1.890.06;1.640.06;1.770.07;1.720.06;1.640.04;2.000.14;1.620.08;1.500.04;1.630.05;1.610.09;1.640.08;1.510.06;1.510.03
RD10;11.1667;14.0833;6.0833;13.5833;8.2500;10.3333;10.8333;6.2500;14.1667;6.9167;3.8333;5.7500;9.1667;6.4167;3.0833;6.0833
RD;10.9583;14.0000;6.7083;13.2500;8.5000;11.0833;11.5417;6.5000;14.2500;6.2917;3.5417;5.7917;9.0417;5.0000;3.2917;6.2500
