Datasets;SCV1V1;SVC1VA;SVR;CSSVC;SVMOP;NNOP;ELMOP;POM;NNPOM;SVOREX;SVORIM;SVORLin;KDLOR;GPOR;REDSVM;ORBALL
P5;.546.091;.542.075;.492.090;.533.063;.521.083;.646.109;.652.088;.485.118;.646.085;.508.095;.498.092;.485.099;.512.081;.515.096;.506.080;.562.067
M5;.428.060;.452.061;.431.056;.458.059;.414.063;.400.066;.402.074;.394.065;.431.073;.432.058;.416.067;.403.061;.425.064;.403.054;.400.064;.389.069
H5;.353.034;.374.027;.351.031;.372.025;.351.030;.358.026;.361.027;.355.018;.386.027;.329.022;.325.027;.350.019;.362.027;.310.029;.324.029;.328.025
S5;.107.013;.112.017;.120.016;.107.016;.116.020;.122.018;.112.014;.370.016;.119.015;.113.014;.113.014;.368.017;.113.013;.109.015;.111.018;.101.014
A5;.512.010;.527.008;.530.007;.524.009;.507.010;.520.009;.521.007;.539.005;.518.009;.512.006;.524.008;.541.005;.546.009;.509.007;.524.008;.529.008
B5;.453.064;.539.044;.357.056;.546.032;.431.035;.705.071;.545.046;.271.024;.765.023;.273.025;.276.029;.275.021;.315.048;.267.017;.283.038;.329.028
BB5;.709.021;.690.020;.664.020;.684.016;.693.019;.780.014;.735.026;.639.026;.786.013;.652.024;.646.024;.642.023;.657.024;.585.029;.644.024;.673.018
C5;.421.016;.470.017;.424.035;.463.020;.413.018;.426.017;.461.030;.381.014;.453.036;.390.028;.397.031;.386.012;.429.027;.377.014;.397.038;.458.026
CC5;.380.032;.425.023;.375.018;.421.021;.370.024;.406.017;.457.046;.342.019;.415.021;.343.016;.338.014;.337.016;.387.028;.325.017;.341.019;.434.031
CH5;.519.021;.542.022;.527.020;.546.023;.516.023;.520.016;.547.019;.492.010;.527.032;.496.011;.499.011;.502.017;.510.017;.497.017;.494.016;.515.012
CE5;.564.018;.576.016;.587.015;.587.021;.567.017;.587.023;.595.019;.558.010;.596.023;.555.013;.556.012;.567.016;.568.018;.535.009;.559.013;.592.016
CEE5;.564.016;.585.017;.573.016;.585.018;.560.020;.600.016;.599.016;.584.017;.634.020;.553.018;.555.016;.585.020;.552.016;.539.009;.553.013;.583.011
RD5;8.5000;12.1667;9.6667;12.0000;7.8333;11.6250;12.4167;5.7500;13.3750;5.3750;5.2917;6.8333;9.0833;2.6667;4.5000;8.9167
P10;.775.069;.758.064;.769.091;.758.063;.763.079;.802.075;.794.081;.719.076;.850.073;.783.076;.735.095;.708.078;.756.086;.779.087;.717.102;.760.091
M10;.597.055;.641.062;.634.065;.634.047;.643.047;.621.058;.610.054;.642.059;.653.054;.624.062;.629.054;.648.061;.651.065;.642.056;.618.051;.606.055
H10;.597.025;.636.028;.590.035;.623.019;.589.031;.584.033;.599.029;.592.032;.606.033;.574.033;.557.029;.602.026;.599.038;.542.026;.548.032;.551.029
S10;.206.022;.218.019;.231.019;.215.020;.212.021;.249.033;.238.018;.561.019;.257.025;.235.023;.234.021;.589.022;.230.019;.249.019;.230.021;.232.025
A10;.713.008;.733.012;.739.005;.725.008;.718.008;.725.010;.731.008;.743.005;.719.008;.709.008;.733.008;.748.007;.744.009;.708.005;.728.010;.732.007
B10;.755.033;.766.020;.588.052;.763.020;.704.047;.851.044;.754.044;.472.019;.881.013;.506.020;.494.021;.483.023;.524.047;.485.016;.487.022;.560.023
BB10;.858.010;.860.011;.825.024;.848.009;.861.015;.895.006;.869.014;.805.014;.894.006;.814.017;.811.018;.804.017;.816.019;.777.014;.815.017;.831.012
C10;.643.016;.677.019;.634.032;.677.016;.631.016;.634.011;.672.024;.580.014;.657.035;.598.027;.607.024;.589.017;.644.028;.588.017;.601.027;.654.015
CC10;.603.013;.647.020;.585.032;.651.027;.591.019;.605.021;.645.024;.534.012;.628.021;.549.030;.546.021;.536.017;.611.034;.527.013;.548.020;.642.024
CH10;.732.019;.744.016;.725.013;.744.013;.733.022;.723.015;.746.017;.704.011;.719.022;.702.012;.707.015;.710.012;.717.018;.696.014;.706.018;.713.011
CE10;.770.012;.780.015;.770.009;.779.011;.768.019;.778.013;.778.012;.753.012;.786.014;.755.014;.756.014;.763.016;.776.014;.736.007;.758.018;.778.010
CEE10;.778.022;.782.014;.767.014;.782.013;.771.013;.785.009;.788.009;.780.008;.813.012;.758.009;.759.012;.780.009;.761.015;.749.010;.762.018;.774.007
RD10;8.0833;12.2500;8.6667;11.3333;8.3333;10.7500;12.0833;6.1667;13.5000;5.3333;5.5000;7.7500;9.2500;4.0833;4.5833;8.3333
RD;8.2917;12.2083;9.1667;11.6667;8.0833;11.1875;12.2500;5.9583;13.4375;5.3542;5.3958;7.2917;9.1667;3.3750;4.5417;8.6250
