;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.784000;1.828000;78.166782;0.780000;1.264000;5.102244;0.696000;1.248000;6266.000000;0.840000;1.972000;786.961388;0.681333;1.174667;736.071000;0.764000;1.336000;3854.593000;0.740000;1.280000;32.534010;0.728000;1.172000;0.476681;0.748000;1.208000;8980.329120;0.772000;1.420000;37.505895;0.808000;1.876000;68.066764;0.772000;1.240000;235.030034;0.740000;1.280000;1728.940250;0.760000;1.224000;4502.047966;0.744000;1.196000;50.430118;0.784000;1.340000;127.428555
0.756000;1.980000;181.631187;0.740000;1.216000;4.666107;0.672000;1.236000;5111.000000;0.760000;1.672000;809.841955;0.704000;1.157333;583.553000;0.696000;1.200000;3817.479000;0.752000;1.268000;32.461448;0.772000;1.248000;0.481841;0.764000;1.200000;10816.784289;0.772000;1.244000;36.878652;0.800000;1.828000;71.513515;0.784000;1.244000;245.079049;0.692000;1.200000;1298.958521;0.764000;1.244000;3825.389336;0.756000;1.228000;51.384779;0.764000;1.220000;128.084562
0.796000;1.664000;170.774077;0.720000;1.208000;5.561710;0.680000;1.148000;4854.000000;0.792000;1.776000;793.091936;0.756000;1.228000;745.817000;0.696000;1.188000;3809.969000;0.756000;1.188000;32.610376;0.708000;1.144000;0.510575;0.712000;1.124000;14270.449572;0.708000;1.220000;38.251230;0.812000;2.044000;68.049197;0.700000;1.212000;239.121964;0.684000;1.132000;1511.355837;0.700000;1.128000;4503.692495;0.716000;1.152000;54.272142;0.684000;1.116000;125.320248
0.836000;1.820000;81.626455;0.744000;1.332000;5.903425;0.748000;1.324000;5469.000000;0.848000;1.768000;895.651894;0.682667;1.150667;686.202000;0.764000;1.368000;3837.054000;0.776000;1.316000;32.415745;0.784000;1.328000;0.479516;0.756000;1.320000;8661.655299;0.768000;1.412000;37.899891;0.840000;1.912000;70.379426;0.756000;1.272000;235.587278;0.744000;1.300000;1569.899010;0.784000;1.296000;4249.909540;0.764000;1.300000;60.962182;0.756000;1.268000;128.803263
0.748000;1.984000;82.021177;0.760000;1.232000;6.037704;0.736000;1.236000;7802.000000;0.844000;1.816000;858.426259;0.728000;1.218667;691.511000;0.712000;1.284000;3815.747000;0.728000;1.224000;32.567928;0.724000;1.144000;0.460644;0.736000;1.160000;8938.948338;0.736000;1.252000;37.834158;0.836000;2.224000;70.589148;0.776000;1.272000;238.619486;0.732000;1.176000;1456.975452;0.740000;1.200000;4466.645124;0.756000;1.172000;51.669747;0.756000;1.196000;124.885296
0.756000;2.112000;76.006634;0.736000;1.172000;6.142927;0.700000;1.180000;5457.000000;0.736000;1.644000;757.723702;0.697333;1.182667;820.203000;0.756000;1.236000;3801.535000;0.764000;1.220000;32.540545;0.740000;1.148000;0.474808;0.744000;1.188000;11149.484230;0.680000;1.124000;37.502373;0.800000;2.188000;67.743686;0.716000;1.240000;237.592268;0.672000;1.144000;1533.676572;0.740000;1.172000;4523.483444;0.752000;1.180000;53.045923;0.732000;1.144000;125.036814
0.804000;1.972000;79.167097;0.784000;1.240000;5.970239;0.740000;1.288000;5671.000000;0.812000;1.784000;768.689304;0.678667;1.206667;583.603000;0.744000;1.268000;3808.749000;0.756000;1.260000;32.497295;0.756000;1.260000;0.491665;0.732000;1.212000;8260.681367;0.752000;1.332000;39.094956;0.820000;1.864000;72.544325;0.740000;1.304000;242.042458;0.708000;1.244000;1548.715464;0.724000;1.200000;4384.167863;0.716000;1.204000;63.932247;0.768000;1.236000;130.104999
0.784000;1.680000;80.141967;0.732000;1.196000;6.528093;0.700000;1.252000;7472.000000;0.836000;1.800000;768.085933;0.726667;1.228000;827.112000;0.772000;1.352000;3792.848000;0.784000;1.256000;32.913970;0.732000;1.168000;0.478542;0.752000;1.160000;10822.342468;0.724000;1.272000;37.824299;0.800000;2.000000;71.590716;0.748000;1.220000;242.898590;0.732000;1.232000;1337.474557;0.756000;1.216000;4440.780833;0.772000;1.152000;71.655432;0.728000;1.192000;128.045168
0.836000;2.108000;71.615115;0.728000;1.240000;6.262618;0.700000;1.264000;6981.000000;0.828000;1.904000;793.710183;0.692000;1.198667;817.615000;0.712000;1.248000;3796.293000;0.736000;1.240000;32.691140;0.716000;1.224000;0.493183;0.728000;1.264000;8661.020306;0.728000;1.224000;37.273112;0.792000;1.964000;66.710686;0.732000;1.204000;236.057465;0.764000;1.172000;1533.255388;0.716000;1.200000;4609.632620;0.748000;1.236000;53.649014;0.736000;1.224000;125.743087
0.752000;1.692000;79.252267;0.772000;1.320000;6.558121;0.712000;1.264000;6217.137931;0.792000;1.808000;795.925427;0.714667;1.154667;682.187000;0.740000;1.264000;3870.169000;0.776000;1.284000;32.443098;0.752000;1.256000;0.479732;0.784000;1.296000;8538.604436;0.752000;1.288000;37.559004;0.800000;2.084000;67.346479;0.768000;1.280000;245.146851;0.732000;1.296000;1900.554266;0.788000;1.256000;4379.041800;0.792000;1.256000;62.400205;0.784000;1.308000;126.499163
0.820000;2.028000;78.687101;0.748000;1.276000;6.400108;0.736000;1.304000;5341.000000;0.796000;1.604000;791.186286;0.698667;1.197333;675.984000;0.776000;1.292000;3823.121000;0.752000;1.272000;32.457345;0.780000;1.300000;0.475453;0.740000;1.260000;10468.226734;0.752000;1.376000;37.792694;0.828000;2.040000;68.767091;0.792000;1.316000;233.194613;0.748000;1.276000;1372.808292;0.732000;1.228000;4009.159912;0.776000;1.284000;65.313646;0.760000;1.292000;124.385969
0.788000;1.756000;78.931070;0.748000;1.188000;5.608023;0.688000;1.204000;6321.000000;0.764000;1.664000;790.129111;0.728000;1.198667;821.657000;0.684000;1.148000;3850.251000;0.756000;1.172000;32.553611;0.728000;1.160000;0.487858;0.768000;1.212000;10478.776788;0.704000;1.220000;37.744752;0.848000;2.028000;68.960756;0.704000;1.164000;233.157795;0.676000;1.196000;1550.804792;0.740000;1.208000;4422.867487;0.780000;1.204000;64.912460;0.760000;1.148000;128.469575
0.828000;2.032000;78.759581;0.752000;1.196000;3.688354;0.700000;1.172000;6536.000000;0.812000;1.884000;820.548034;0.729333;1.197333;588.807000;0.696000;1.136000;3787.500000;0.736000;1.152000;32.540592;0.736000;1.168000;0.471360;0.748000;1.156000;11331.195588;0.768000;1.240000;37.497066;0.832000;2.144000;68.686286;0.748000;1.168000;465.577973;0.680000;1.148000;1423.634194;0.736000;1.180000;7621.885253;0.768000;1.204000;64.492419;0.752000;1.164000;125.291334
0.780000;1.816000;77.529933;0.768000;1.268000;3.858013;0.744000;1.276000;7242.000000;0.852000;1.688000;837.399096;0.709333;1.180000;777.414000;0.704000;1.240000;3832.579000;0.772000;1.300000;32.492026;0.748000;1.236000;0.457207;0.756000;1.228000;9464.637373;0.712000;1.272000;38.302814;0.844000;1.932000;69.725296;0.744000;1.244000;443.726947;0.728000;1.232000;1735.211951;0.780000;1.272000;4106.388566;0.756000;1.220000;52.483058;0.752000;1.228000;127.551833
0.796000;1.724000;77.096138;0.728000;1.272000;4.812403;0.700000;1.260000;7952.000000;0.824000;1.836000;851.818061;0.717333;1.160000;804.789000;0.716000;1.256000;3787.799000;0.732000;1.252000;32.448654;0.728000;1.224000;0.463405;0.748000;1.252000;10654.296274;0.740000;1.356000;38.536230;0.832000;1.804000;69.741994;0.756000;1.224000;235.413318;0.704000;1.252000;1412.886481;0.744000;1.228000;4366.404593;0.720000;1.200000;58.144250;0.756000;1.252000;128.635016
0.780000;1.960000;67.334743;0.760000;1.172000;6.254951;0.680000;1.124000;6593.000000;0.796000;1.648000;932.491965;0.721333;1.192000;888.768000;0.708000;1.136000;3767.318000;0.760000;1.212000;32.555923;0.752000;1.156000;0.516427;0.752000;1.192000;8570.656522;0.728000;1.144000;37.809333;0.832000;2.176000;73.067184;0.736000;1.220000;239.471303;0.696000;1.100000;1381.072851;0.748000;1.168000;7629.892089;0.780000;1.192000;69.045369;0.732000;1.172000;128.143510
0.832000;2.116000;77.180478;0.716000;1.308000;6.681898;0.692000;1.256000;7734.000000;0.792000;1.908000;783.468820;0.708000;1.156000;884.989000;0.688000;1.256000;3795.424000;0.772000;1.268000;32.672470;0.716000;1.232000;0.499996;0.716000;1.244000;8855.201246;0.736000;1.272000;37.241142;0.900000;2.224000;68.723446;0.744000;1.312000;232.818159;0.708000;1.300000;1320.614817;0.760000;1.216000;4392.384556;0.736000;1.232000;49.309006;0.716000;1.208000;124.217816
0.840000;2.012000;65.187685;0.732000;1.244000;6.188006;0.672000;1.244000;7245.000000;0.844000;1.908000;832.101131;0.722667;1.173333;794.217000;0.688000;1.284000;3839.681000;0.772000;1.276000;32.726114;0.724000;1.232000;0.476678;0.752000;1.256000;7171.918075;0.712000;1.280000;37.877205;0.832000;1.772000;69.538238;0.736000;1.216000;236.729872;0.672000;1.192000;1413.295717;0.764000;1.240000;4260.528618;0.736000;1.192000;62.529576;0.752000;1.216000;123.973976
0.828000;2.132000;66.289043;0.748000;1.300000;6.042656;0.744000;1.324000;7776.000000;0.824000;1.780000;775.516278;0.701333;1.157333;845.552000;0.732000;1.304000;3821.304000;0.796000;1.324000;32.586024;0.756000;1.284000;0.501713;0.736000;1.232000;8751.744343;0.724000;1.304000;37.704169;0.816000;2.088000;68.354022;0.728000;1.268000;239.391661;0.724000;1.236000;1443.045801;0.772000;1.232000;4158.747517;0.772000;1.256000;47.687518;0.772000;1.296000;126.565283
0.792000;2.064000;165.519962;0.736000;1.292000;5.714692;0.732000;1.256000;6918.000000;0.788000;1.716000;823.053303;0.720000;1.177333;915.253000;0.716000;1.316000;3859.415000;0.800000;1.288000;32.575989;0.752000;1.240000;0.463994;0.784000;1.248000;8243.690938;0.724000;1.272000;37.664501;0.824000;1.944000;69.345688;0.736000;1.188000;236.144219;0.720000;1.228000;1212.691294;0.776000;1.200000;4372.229912;0.768000;1.272000;48.504297;0.760000;1.256000;127.809246
0.824000;1.932000;176.798248;0.748000;1.244000;7.025882;0.724000;1.232000;6319.000000;0.836000;1.868000;761.421143;0.693333;1.165333;961.316000;0.740000;1.244000;3810.450000;0.776000;1.244000;32.506056;0.732000;1.192000;0.476288;0.764000;1.240000;11601.876460;0.752000;1.252000;37.463466;0.812000;1.936000;66.994287;0.760000;1.224000;230.258283;0.740000;1.216000;1423.893003;0.764000;1.216000;4666.340038;0.772000;1.200000;56.421927;0.768000;1.224000;125.337945
0.772000;2.012000;183.261758;0.780000;1.240000;7.351355;0.736000;1.220000;6491.000000;0.772000;1.700000;767.139634;0.692000;1.176000;973.213000;0.740000;1.240000;3813.417000;0.784000;1.260000;32.458133;0.764000;1.208000;0.462050;0.740000;1.196000;10130.209377;0.724000;1.256000;39.078490;0.824000;2.144000;72.532948;0.756000;1.192000;246.872060;0.716000;1.180000;1569.204479;0.764000;1.188000;4297.523476;0.784000;1.216000;53.214923;0.748000;1.180000;129.472594
0.792000;2.140000;180.391095;0.740000;1.256000;6.350685;0.704000;1.264000;5612.000000;0.824000;1.636000;800.552823;0.678667;1.137333;889.329000;0.744000;1.292000;3822.937000;0.720000;1.224000;32.497233;0.748000;1.268000;0.446171;0.744000;1.268000;8738.628079;0.772000;1.368000;36.712239;0.816000;2.104000;68.441911;0.720000;1.220000;231.417235;0.716000;1.236000;1422.260121;0.736000;1.224000;4420.674192;0.760000;1.264000;49.284636;0.744000;1.248000;127.940352
0.824000;1.780000;171.806231;0.720000;1.248000;6.120334;0.692000;1.240000;7626.000000;0.756000;1.804000;790.776239;0.704000;1.168000;893.165000;0.696000;1.264000;3785.695000;0.720000;1.228000;32.493821;0.752000;1.260000;0.465902;0.740000;1.204000;10386.231449;0.696000;1.300000;36.880070;0.832000;2.008000;69.869806;0.700000;1.264000;231.673959;0.696000;1.212000;1638.290267;0.732000;1.232000;4043.299588;0.740000;1.204000;51.960066;0.752000;1.224000;127.964865
0.816000;1.960000;171.845054;0.736000;1.196000;4.724519;0.692000;1.188000;5069.000000;0.788000;1.712000;816.225692;0.713333;1.177333;900.253000;0.752000;1.256000;3808.972000;0.780000;1.228000;32.494410;0.728000;1.200000;0.436422;0.744000;1.200000;10309.194638;0.708000;1.340000;36.977656;0.884000;2.096000;69.022403;0.728000;1.188000;234.306817;0.680000;1.152000;1473.557141;0.732000;1.184000;4540.632545;0.760000;1.224000;53.317190;0.724000;1.184000;124.892047
0.852000;1.672000;181.184083;0.756000;1.236000;6.302505;0.792000;1.304000;5181.000000;0.844000;1.864000;847.557664;0.704000;1.174667;890.434000;0.768000;1.292000;3862.651000;0.764000;1.252000;32.564445;0.784000;1.252000;0.474714;0.788000;1.248000;16351.379601;0.764000;1.368000;37.110215;0.828000;1.972000;70.292280;0.768000;1.244000;233.034328;0.756000;1.244000;1401.951997;0.764000;1.256000;4552.683769;0.784000;1.260000;53.408732;0.800000;1.248000;128.790762
