;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.336066;0.368852;27.548132;0.254098;0.303279;5.403286;0.295082;0.319672;457.000000;0.352459;0.377049;250.320421;0.303279;0.327869;700.171000;0.295082;0.319672;2024.085000;0.327869;0.344262;30.770839;0.319672;0.352459;0.525073;0.278689;0.278689;55.241065;0.303279;0.319672;16.357686;0.327869;0.368852;26.631254;0.295082;0.295082;60.879847;0.303279;0.319672;126.897564;0.286885;0.311475;191.230154;0.286885;0.352459;2.895574;0.270492;0.286885;98.959564
0.311475;0.319672;63.477047;0.303279;0.295082;4.591419;0.311475;0.319672;472.000000;0.336066;0.368852;248.992782;0.336066;0.336066;702.053000;0.303279;0.368853;2127.224000;0.327869;0.344262;31.376005;0.319672;0.327869;0.528113;0.311475;0.319672;55.545232;0.319672;0.327869;17.563653;0.303279;0.319672;25.912664;0.286885;0.278689;61.873693;0.303279;0.303279;129.656415;0.344262;0.303279;180.180378;0.295082;0.303279;2.636290;0.286885;0.286885;106.333705
0.319672;0.360656;27.747550;0.344262;0.352459;4.718359;0.303279;0.303279;875.000000;0.409836;0.385246;249.485064;0.352459;0.344262;703.654000;0.311475;0.327869;2052.925000;0.303279;0.319672;31.221425;0.319672;0.319672;0.435674;0.278689;0.286885;52.600061;0.295082;0.303279;16.926896;0.368852;0.450820;26.987215;0.262295;0.295082;61.805087;0.286885;0.303279;121.735670;0.295082;0.295082;160.696051;0.295082;0.295082;3.145009;0.319672;0.303279;102.804172
0.327869;0.319672;27.327568;0.303279;0.270492;4.733343;0.286885;0.286885;656.000000;0.319672;0.360656;233.937713;0.319672;0.286885;688.554000;0.336066;0.352459;2073.358000;0.286885;0.286885;31.261220;0.270492;0.270492;0.509698;0.311475;0.311475;55.572402;0.286885;0.286885;17.518396;0.319672;0.319672;27.083755;0.270492;0.270492;61.586319;0.270492;0.295082;108.066520;0.295082;0.262295;183.856327;0.311475;0.311475;2.954146;0.286885;0.278689;101.351570
0.278689;0.344262;28.280023;0.286885;0.327869;5.503055;0.327869;0.336066;365.000000;0.336066;0.360656;232.725217;0.286885;0.311475;704.131000;0.319672;0.344262;2067.802000;0.336066;0.352459;31.714730;0.270492;0.286885;0.549291;0.286885;0.336066;52.313097;0.278689;0.286885;17.554820;0.311475;0.352459;26.325309;0.270492;0.303279;62.282352;0.286885;0.319672;128.841266;0.270492;0.295082;182.472189;0.278689;0.303279;2.707466;0.262295;0.336066;99.764934
0.311475;0.336066;28.399041;0.237705;0.237705;4.666703;0.245902;0.270492;265.000000;0.377049;0.311475;234.838356;0.254098;0.270492;704.971000;0.311475;0.336066;2087.966000;0.303279;0.327869;31.286149;0.188525;0.213115;0.510498;0.196721;0.286885;54.909337;0.213115;0.245902;17.629429;0.303279;0.311475;27.235351;0.221311;0.213115;62.683239;0.311475;0.229508;133.379807;0.245902;0.336066;180.256661;0.213115;0.245902;3.393099;0.295082;0.311475;100.712590
0.303279;0.327869;27.906630;0.254098;0.295082;4.856564;0.245902;0.262295;372.000000;0.377049;0.344262;228.550903;0.303279;0.352459;703.016000;0.311475;0.344262;1902.006000;0.327869;0.352459;31.670568;0.254098;0.270492;0.544577;0.254098;0.278689;51.559756;0.262295;0.319672;17.408228;0.295082;0.327869;26.797761;0.245902;0.262295;62.379769;0.286885;0.270492;101.048870;0.262295;0.270492;307.478570;0.245902;0.270492;3.619912;0.254098;0.303279;100.278466
0.303279;0.327869;28.044976;0.319672;0.319672;4.455300;0.278689;0.303279;571.000000;0.327869;0.377049;224.672171;0.303279;0.327869;704.129000;0.352459;0.368853;1892.841000;0.336066;0.360656;31.753734;0.295082;0.311475;0.528829;0.278689;0.352459;54.351697;0.352459;0.319672;17.665133;0.295082;0.327869;27.228411;0.262295;0.319672;62.264073;0.303279;0.295082;107.897396;0.311475;0.336066;176.693298;0.311475;0.327869;3.445036;0.327869;0.327869;110.525935
0.278689;0.319672;27.959275;0.213115;0.237705;4.826886;0.237705;0.237705;298.000000;0.360656;0.360656;229.857836;0.221311;0.229508;694.025000;0.221311;0.229508;1890.502000;0.286885;0.303279;31.827491;0.270492;0.270492;0.514071;0.221311;0.213115;51.845449;0.229508;0.245902;17.608677;0.278689;0.319672;27.317931;0.229508;0.254098;63.819392;0.229508;0.229508;121.852869;0.229508;0.229508;182.916948;0.229508;0.229508;2.722492;0.229508;0.229508;99.731339
