;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.326923;0.480769;48.286764;0.365385;0.538462;4.512951;0.557692;0.788462;808.000000;0.346154;0.423077;19.261217;0.403846;0.653846;1291.454000;0.519231;0.903846;5981.607000;0.250000;0.365385;33.849860;0.307692;0.480769;9.239165;0.307692;0.423077;19.590138;0.230769;0.326923;16.177350;0.250000;0.365385;21.882076;0.269231;0.423077;40.036328;0.307692;0.423077;6.681519;0.307692;0.423077;8.522519;0.326923;0.519231;1.323767;0.326923;0.442308;55.390761
0.250000;0.326923;21.566843;0.307692;0.403846;4.709509;0.288462;0.500000;1021.000000;0.250000;0.288462;70.433368;0.442308;0.500000;1291.047000;0.500000;0.807692;5658.959000;0.307692;0.346154;33.484476;0.480769;0.653846;7.632408;0.288462;0.365385;20.684285;0.230769;0.384615;16.217170;0.250000;0.403846;21.763185;0.230769;0.384615;39.995632;0.326923;0.346154;6.793981;0.326923;0.365385;9.550756;0.403846;0.461538;1.453740;0.307692;0.326923;55.845743
0.173077;0.250000;50.883470;0.384615;0.557692;4.831787;0.423077;0.673077;2973.000000;0.250000;0.326923;86.573406;0.307692;0.576923;1294.622000;0.596154;0.961538;5776.495000;0.230769;0.269231;33.477637;0.865385;2.192308;0.513478;0.307692;0.346154;21.813161;0.153846;0.192308;16.163366;0.173077;0.250000;21.826889;0.230769;0.250000;40.310085;0.307692;0.346154;7.411173;0.307692;0.346154;10.010199;0.423077;0.500000;1.923309;0.288462;0.365385;55.147654
0.230769;0.307692;21.333507;0.365385;0.653846;3.995774;0.326923;0.596154;3943.000000;0.326923;0.365385;81.228645;0.480769;0.500000;1254.591000;0.711538;0.634615;5897.264000;0.250000;0.288462;33.393004;0.480769;0.557692;9.533856;0.346154;0.403846;21.377989;0.153846;0.250000;16.207502;0.230769;0.307692;21.795938;0.211538;0.192308;40.970743;0.365385;0.250000;6.759273;0.307692;0.346154;9.208110;0.403846;0.403846;2.117317;0.326923;0.250000;74.934222
0.288462;0.423077;21.487626;0.403846;0.557692;4.406627;0.365385;0.500000;1157.000000;0.307692;0.403846;81.916528;0.384615;0.461539;1292.048000;0.480769;0.826923;5665.519000;0.384615;0.423077;34.011917;0.442308;0.557692;10.607190;0.307692;0.365385;21.554191;0.307692;0.442308;16.337756;0.288462;0.423077;21.934150;0.269231;0.423077;41.137284;0.307692;0.365385;6.823247;0.307692;0.365385;9.250625;0.461538;0.519231;1.962863;0.307692;0.365385;73.254927
0.288462;0.403846;21.619373;0.365385;0.461538;5.550038;0.384615;0.615385;6136.000000;0.173077;0.346154;83.210113;0.326923;0.384615;1272.830000;0.596154;0.846154;5727.172000;0.250000;0.269231;33.973454;0.423077;0.596154;11.384665;0.230769;0.384615;24.289663;0.230769;0.288462;16.218181;0.288462;0.480769;21.958880;0.173077;0.326923;42.863372;0.250000;0.384615;6.467334;0.250000;0.288462;8.423349;0.346154;0.346154;1.712712;0.269231;0.384615;58.416718
0.326923;0.384615;20.439014;0.423077;0.557692;4.598537;0.423077;0.692308;408.000000;0.384615;0.615385;83.250015;0.500000;0.596154;1267.605000;0.557692;0.903846;5502.097000;0.423077;0.519231;34.016035;0.500000;0.750000;10.374739;0.365385;0.576923;23.732957;0.211538;0.250000;16.164974;0.307692;0.500000;21.458545;0.326923;0.461538;41.093429;0.461538;0.557692;6.871670;0.461538;0.500000;9.144027;0.442308;0.557692;1.515522;0.403846;0.519231;58.703690
0.307692;0.423077;21.616650;0.346154;0.538462;4.989269;0.480769;0.711538;1373.000000;0.326923;0.403846;85.504088;0.384615;0.461539;1301.430000;0.538462;0.750000;5586.271000;0.269231;0.346154;33.847807;0.384615;0.538462;11.151371;0.288462;0.480769;23.261092;0.153846;0.269231;16.193520;0.288462;0.250000;21.910998;0.192308;0.307692;42.513417;0.346154;0.365385;6.680453;0.288462;0.461538;9.062127;0.423077;0.519231;1.633308;0.307692;0.346154;56.713499
0.307692;0.576923;20.400060;0.307692;0.769231;5.806621;0.346154;0.615385;462.000000;0.288462;0.442308;83.556084;0.346154;0.403846;1318.552000;0.538462;0.903846;5944.954000;0.326923;0.461538;33.700693;0.865385;2.153846;0.808483;0.403846;0.480769;25.080293;0.307692;0.596154;16.159691;0.288462;0.557692;21.530283;0.307692;0.365385;41.788025;0.307692;0.480769;7.253374;0.346154;0.480769;9.988815;0.365385;0.423077;1.559033;0.384615;0.461538;58.493628
