;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.038217;0.038217;29.844022;0.050955;0.089172;3.270549;0.044586;0.044586;941.000000;0.133758;0.133758;355.102738;0.031847;0.031847;234.560000;0.108280;0.140127;593.088000;0.025478;0.025478;63.057141;0.089172;0.101911;1.477719;0.000000;0.000000;33.753614;0.057325;0.057325;19.268522;0.038217;0.038217;27.506773;0.044586;0.044586;52.320875;0.444000;0.460000;778.101380;0.000000;0.000000;19.274763;0.089172;0.101911;6.395683;0.152866;0.152866;165.200082
0.038217;0.038217;31.213548;0.133758;0.121019;4.109123;0.031847;0.031847;1570.000000;0.152866;0.152866;396.985970;0.044586;0.044586;201.395000;0.082803;0.089172;611.827000;0.012739;0.012739;63.549230;0.114650;0.121019;0.467153;0.000000;0.000000;29.945828;0.025478;0.025478;19.015844;0.050955;0.038217;26.832572;0.031847;0.031847;53.276252;0.420000;0.440000;754.827985;0.000000;0.000000;19.629952;0.114650;0.121019;6.004181;0.184713;0.216561;172.097930
0.006369;0.006369;28.983800;0.101911;0.063694;4.320222;0.025478;0.025478;898.000000;0.152866;0.152866;366.938839;0.038217;0.038217;195.396000;0.038217;0.038217;616.601000;0.038217;0.038217;63.769052;0.089172;0.095541;0.486759;0.000000;0.000000;30.324512;0.006369;0.019108;19.134397;0.031847;0.006369;27.283001;0.038217;0.006369;52.094239;0.476000;0.456000;752.965678;0.000000;0.000000;20.337918;0.089172;0.095541;6.553635;0.140127;0.133758;161.025376
0.019108;0.019108;30.505755;0.050955;0.070064;3.940179;0.019108;0.019108;2977.000000;0.127389;0.140127;378.701058;0.025478;0.031847;236.066000;0.031847;0.031847;644.864000;0.025478;0.025478;63.450699;0.057325;0.063694;0.338324;0.000000;0.000000;30.670197;0.019108;0.025478;18.884218;0.019108;0.019108;27.123277;0.019108;0.044586;51.454811;0.396000;0.420000;784.280915;0.000000;0.000000;19.803116;0.057325;0.063694;5.736932;0.140127;0.140127;162.043133
0.038217;0.038217;29.708879;0.057325;0.089172;4.489968;0.031847;0.031847;2725.000000;0.165605;0.165605;371.801040;0.038217;0.038217;190.495000;0.063694;0.076433;610.386000;0.050955;0.063694;63.488279;0.114650;0.127389;0.608220;0.006369;0.006369;29.623609;0.012739;0.012739;19.136952;0.038217;0.038217;27.850230;0.025478;0.025478;52.951678;0.420000;0.436000;776.893598;0.012739;0.012739;19.686338;0.114650;0.127389;5.837982;0.191083;0.184713;167.951186
0.025478;0.025478;31.259952;0.070064;0.095541;4.511048;0.031847;0.031847;895.000000;0.216561;0.216561;366.360425;0.044586;0.050955;189.171000;0.050955;0.057325;636.032000;0.031847;0.031847;63.513353;0.070064;0.082803;0.478838;0.000000;0.000000;30.608789;0.031847;0.031847;19.123647;0.038217;0.025478;27.180383;0.044586;0.019108;51.178768;0.440000;0.472000;755.236426;0.000000;0.000000;19.685415;0.070064;0.082803;5.497855;0.210191;0.210191;167.583429
0.038217;0.038217;29.452259;0.095541;0.095541;3.900051;0.025478;0.025478;852.000000;0.197452;0.197452;374.033251;0.057325;0.063694;179.026000;0.044586;0.044586;598.802000;0.012739;0.012739;63.587186;0.095541;0.095541;0.369017;0.000000;0.000000;32.332126;0.038217;0.038217;19.119913;0.038217;0.031847;27.005907;0.057325;0.038217;51.047069;0.420000;0.428000;757.408789;0.000000;0.000000;19.481472;0.095541;0.095541;5.825955;0.191083;0.191083;166.272491
0.025478;0.025478;28.580085;0.057325;0.076433;4.595328;0.025478;0.025478;1092.000000;0.133758;0.114650;405.789872;0.031847;0.031847;171.692000;0.019108;0.025478;621.217000;0.025478;0.025478;63.789155;0.063694;0.070064;0.410607;0.000000;0.000000;31.442252;0.019108;0.019108;19.491162;0.031847;0.025478;27.452029;0.025478;0.025478;51.357479;0.404000;0.416000;824.851670;0.000000;0.000000;20.028922;0.063694;0.070064;6.458251;0.127389;0.127389;159.188974
0.025478;0.025478;30.763326;0.095541;0.057325;4.631729;0.031847;0.031847;852.000000;0.108280;0.152866;385.839883;0.031847;0.031847;184.128000;0.038217;0.038217;596.178000;0.000000;0.000000;63.471294;0.095541;0.101911;0.422660;0.000000;0.000000;34.051251;0.012739;0.012739;19.408957;0.025478;0.031847;27.404807;0.025478;0.012739;51.808113;0.472000;0.492000;754.073451;0.000000;0.000000;19.834314;0.095541;0.101911;6.493359;0.121019;0.121019;168.882035
0.044586;0.044586;30.288867;0.095541;0.127389;4.077673;0.038217;0.038217;1983.620690;0.108280;0.178344;433.092580;0.031847;0.044586;172.685000;0.050955;0.057325;629.317000;0.050955;0.050955;63.254194;0.121019;0.133758;0.521624;0.000000;0.000000;32.231004;0.031847;0.050955;19.387130;0.031847;0.031847;27.388366;0.031847;0.031847;52.292375;0.404000;0.412000;808.246286;0.000000;0.000000;19.725940;0.121019;0.133758;6.231610;0.146497;0.146497;174.940605
0.019108;0.019108;29.806889;0.089172;0.076433;2.903995;0.012739;0.012739;2051.000000;0.159236;0.152866;419.588895;0.044586;0.044586;172.791000;0.280255;0.477707;592.200000;0.025478;0.025478;63.414597;0.101911;0.114650;0.507849;0.000000;0.000000;31.492071;0.038217;0.012739;19.943298;0.031847;0.025478;27.760607;0.044586;0.012739;52.013712;0.428000;0.436000;761.016177;0.000000;0.000000;19.481447;0.101911;0.114650;6.309011;0.140127;0.140127;172.798795
0.006369;0.006369;29.332806;0.076433;0.082803;4.080122;0.038217;0.038217;956.000000;0.178344;0.171975;389.317634;0.044586;0.050955;169.673000;0.063694;0.070064;615.471000;0.038217;0.038217;63.864799;0.089172;0.108280;0.430801;0.000000;0.012739;30.250089;0.012739;0.012739;19.032093;0.006369;0.006369;27.137259;0.012739;0.012739;50.870237;0.480000;0.512000;751.904801;0.000000;0.000000;19.888518;0.089172;0.108280;5.918305;0.178344;0.178344;164.730506
0.031847;0.031847;29.897746;0.101911;0.121019;4.206924;0.044586;0.044586;911.000000;0.159236;0.159236;384.646976;0.070064;0.044586;165.399000;0.076433;0.089172;600.642000;0.076433;0.076433;62.586651;0.089172;0.108280;0.366752;0.000000;0.000000;31.109841;0.019108;0.031847;19.346703;0.031847;0.031847;27.501182;0.012739;0.063694;52.113583;0.412000;0.416000;796.648709;0.000000;0.000000;19.744907;0.089172;0.108280;5.402621;0.178344;0.178344;315.196605
0.025478;0.025478;29.171563;0.070064;0.076433;3.755883;0.063694;0.063694;1301.000000;0.203822;0.203822;396.382274;0.038217;0.050955;173.238000;0.031847;1.000000;602.929000;0.050955;0.050955;64.724666;0.101911;0.121019;0.493448;0.019108;0.019108;32.498675;0.038217;0.038217;19.100461;0.025478;0.025478;27.815830;0.038217;0.050955;53.242559;0.404000;0.408000;794.361502;0.025478;0.025478;19.465608;0.101911;0.121019;5.184214;0.203822;0.191083;167.663667
0.044586;0.044586;32.944341;0.108280;0.159236;4.806010;0.057325;0.057325;5873.000000;0.229299;0.203822;392.246689;0.044586;0.050955;163.992000;0.070064;0.076433;639.598000;0.044586;0.044586;63.400135;0.082803;0.101911;0.520919;0.000000;0.000000;32.291935;0.038217;0.057325;20.207371;0.044586;0.044586;29.092691;0.050955;0.050955;53.353551;0.408000;0.412000;812.367014;0.006369;0.006369;19.995176;0.082803;0.101911;5.234194;0.210191;0.210191;176.326915
0.019108;0.019108;31.207295;0.108280;0.108280;4.621805;0.031847;0.031847;1439.000000;0.152866;0.146497;343.771624;0.050955;0.057325;160.658000;0.031847;0.031847;620.879000;0.038217;0.038217;63.873225;0.101911;0.121019;0.446712;0.000000;0.000000;31.513018;0.031847;0.031847;19.416769;0.019108;0.050955;26.937826;0.038217;0.006369;51.790934;0.444000;0.476000;680.388710;0.000000;0.000000;19.551753;0.101911;0.121019;5.543502;0.152866;0.152866;170.386771
0.050955;0.050955;32.536968;0.082803;0.076433;3.421463;0.031847;0.031847;1255.000000;0.171975;0.146497;350.857738;0.031847;0.038217;174.904000;0.038217;0.038217;635.275000;0.025478;0.025478;63.288468;0.076433;0.082803;0.350911;0.000000;0.000000;30.462879;0.057325;0.050955;19.456298;0.050955;0.050955;26.470335;0.050955;0.070064;52.656475;0.424000;0.444000;878.092794;0.000000;0.000000;19.746541;0.076433;0.082803;6.120862;0.191083;0.191083;167.394847
0.057325;0.057325;28.802483;0.070064;0.057325;5.026042;0.025478;0.025478;3709.000000;0.114650;0.146497;351.356295;0.025478;0.031847;179.827000;0.031847;0.031847;633.551000;0.031847;0.031847;62.856713;0.095541;0.101911;0.521660;0.000000;0.000000;32.016243;0.025478;0.025478;18.997209;0.057325;0.057325;27.151703;0.025478;0.025478;51.490963;0.348000;0.368000;810.811335;0.000000;0.000000;19.563362;0.095541;0.101911;5.660204;0.121019;0.127389;167.233775
0.031847;0.031847;30.269416;0.095541;0.133758;4.479638;0.025478;0.025478;1364.000000;0.171975;0.171975;365.793457;0.038217;0.050955;160.306000;0.076433;0.095541;610.106000;0.044586;0.044586;63.691062;0.133758;0.146497;0.511900;0.000000;0.000000;30.681574;0.050955;0.038217;18.918671;0.031847;0.031847;26.943536;0.057325;0.057325;51.549975;0.480000;0.488000;749.062383;0.000000;0.000000;19.971756;0.133758;0.146497;5.902042;0.203822;0.210191;172.550467
0.038217;0.038217;30.387488;0.089172;0.108280;4.098985;0.044586;0.044586;2901.000000;0.152866;0.152866;366.255674;0.038217;0.038217;190.783000;0.082803;0.101911;626.215000;0.044586;0.044586;63.487301;0.095541;0.121019;0.548374;0.000000;0.000000;30.122089;0.006369;0.006369;19.351750;0.031847;0.006369;28.420100;0.057325;0.012739;52.904609;0.424000;0.448000;772.304716;0.000000;0.000000;19.580804;0.095541;0.121019;5.204831;0.159236;0.159236;166.211752
0.038217;0.038217;30.696848;0.057325;0.089172;4.226186;0.044586;0.044586;897.000000;0.152866;0.152866;393.449921;0.025478;0.044586;194.006000;0.095541;0.095541;602.855000;0.025478;0.025478;63.531393;0.114650;0.121019;0.494835;0.000000;0.000000;30.573610;0.031847;0.038217;19.138261;0.038217;0.038217;27.087620;0.025478;0.025478;51.264155;0.408000;0.432000;742.536035;0.000000;0.000000;19.864505;0.114650;0.121019;6.672948;0.140127;0.152866;167.586839
0.025478;0.025478;29.189688;0.082803;0.108280;4.837363;0.031847;0.031847;1659.000000;0.165605;0.159236;402.317507;0.038217;0.038217;184.587000;0.057325;0.057325;607.840000;0.025478;0.025478;63.938481;0.082803;0.095541;0.474518;0.000000;0.000000;31.173751;0.031847;0.031847;19.011809;0.025478;0.025478;27.199208;0.031847;0.031847;52.667558;0.424000;0.436000;748.505109;0.000000;0.012739;19.744253;0.082803;0.095541;6.052392;0.146497;0.146497;167.047835
