;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.400000;0.466667;12.534369;0.466667;0.533333;2.944544;0.400000;0.600000;6.000000;0.400000;0.466667;14.725084;0.600000;0.533333;69.396000;0.400000;0.600000;695.111000;0.266667;0.266667;7.197172;0.333333;0.333333;0.527508;0.400000;0.333333;10.641710;0.400000;0.600000;12.739609;0.400000;0.600000;10.387963;0.466667;0.533333;14.253370;0.400000;0.333333;0.649714;0.400000;0.600000;0.648613;0.400000;0.600000;0.262891;0.400000;0.400000;48.781255
0.400000;0.466667;9.408877;0.733333;0.266667;2.185096;0.400000;0.466667;10.000000;0.400000;0.466667;11.444863;0.466667;0.333333;69.135000;0.400000;0.533333;667.706000;0.333333;0.400000;7.082762;0.533333;1.066667;0.562001;0.400000;0.466667;12.076048;0.400000;0.466667;12.839162;0.400000;0.466667;10.700487;0.400000;0.333333;14.872639;0.400000;0.466667;0.689788;0.400000;0.400000;0.675372;0.400000;0.466667;0.274840;0.400000;0.466667;48.411846
0.400000;0.533333;12.448141;0.533333;0.600000;2.041470;0.466667;0.733333;7.000000;0.466667;0.666667;12.144584;0.533333;0.666667;73.263000;0.533333;0.666667;682.920000;0.466667;0.466667;7.142065;0.733333;0.866667;0.519411;0.400000;0.600000;11.253303;0.466667;0.666667;12.034384;0.400000;0.533333;10.617864;0.533333;0.600000;14.205351;0.466667;0.600000;0.643951;0.400000;0.600000;0.630364;0.466667;0.533333;0.273919;0.533333;0.600000;47.044409
0.400000;0.600000;7.891123;0.466667;0.666667;2.035256;0.400000;0.600000;19.000000;0.400000;0.666667;5.667873;0.666667;0.800000;78.738000;0.466667;0.466667;683.625000;0.466667;0.533333;7.174786;0.533333;0.600000;0.524012;0.400000;0.666667;11.954961;0.400000;0.600000;12.739101;0.400000;0.400000;10.486497;0.266667;0.533333;14.338897;0.400000;0.600000;0.634603;0.400000;0.666667;0.617280;0.333333;0.400000;0.258699;0.533333;0.600000;44.703110
0.600000;0.333333;7.861798;0.400000;0.800000;1.875238;0.400000;0.600000;4.000000;0.400000;0.600000;5.901396;0.400000;0.466667;78.469000;0.800000;1.000000;675.662000;0.533333;0.533333;7.053573;0.400000;0.666667;0.505118;0.333333;0.600000;11.902295;0.400000;0.600000;12.826083;0.600000;0.400000;10.697291;0.466667;0.600000;14.197878;0.400000;0.600000;0.646068;0.333333;0.466667;0.623882;0.400000;0.600000;0.233977;0.400000;0.533333;46.666754
0.533333;0.733333;7.903076;0.600000;0.866667;1.400499;0.466667;0.666667;7.000000;0.533333;0.666667;6.992764;0.600000;1.000000;78.445000;0.533333;0.800000;676.451000;0.466667;0.533333;7.176389;0.666667;0.933333;0.532986;0.466667;0.666667;11.990062;0.466667;0.666667;12.832864;0.466667;0.666667;10.443063;0.533333;0.666667;14.374581;0.466667;0.733333;0.675627;0.466667;0.600000;0.636796;0.466667;0.666667;0.266704;0.533333;0.666667;49.576313
0.466667;0.466667;14.310379;0.533333;0.666667;1.288710;0.466667;0.666667;15.000000;0.466667;0.666667;10.923005;0.400000;0.466667;76.114000;0.466667;0.800000;627.185000;0.733333;0.800000;6.928428;0.933333;1.733333;0.550900;0.466667;0.666667;12.253600;0.466667;0.666667;13.194359;0.466667;0.666667;10.381678;0.533333;0.733333;14.289530;0.466667;0.733333;0.661695;0.466667;0.666667;0.632731;0.466667;0.666667;0.276638;0.466667;0.733333;49.605993
0.400000;0.600000;18.444669;0.800000;0.333333;1.677981;0.400000;0.600000;5.000000;0.466667;0.666667;6.234215;0.466667;0.466667;82.189000;0.666667;1.000000;661.892000;0.466667;0.600000;7.074680;0.866667;1.133333;0.541204;0.466667;0.600000;12.066588;0.466667;0.666667;12.396161;0.400000;0.600000;10.359949;0.533333;0.800000;14.332681;0.466667;0.666667;0.641758;0.466667;0.666667;0.622900;0.333333;0.533333;0.255094;0.466667;0.666667;46.722429
0.400000;0.466667;19.105323;0.466667;0.533333;2.030090;0.466667;0.600000;14.000000;0.466667;0.533333;10.200121;0.600000;0.866667;80.978000;0.733333;0.866667;638.834000;0.466667;0.533333;7.059402;0.466667;0.666667;0.685318;0.466667;0.533333;12.271023;0.466667;0.600000;12.851186;0.400000;0.600000;10.730685;0.333333;0.466667;14.773965;0.466667;0.533333;0.672037;0.533333;0.466667;0.672439;0.466667;0.533333;0.273360;0.466667;0.533333;44.856320
