;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.011574;0.013889;206.621618;0.152778;0.173611;7.140323;0.037037;0.037037;333855.000000;0.055556;0.055556;2411.240667;0.013889;0.013889;1829.473000;0.104167;0.118056;9386.733000;0.011574;0.011574;222.615036;0.013889;0.013889;133.578421;0.013889;0.013889;133.578421;0.002315;0.004630;101.966538;0.006944;0.002315;225.814934;0.000000;0.000000;488.853043;0.013889;0.009259;1770.589589;0.013889;0.013889;554.014243;0.067130;0.067130;15.820130;0.020833;0.020833;1749.584586
0.004630;0.004630;210.975284;0.157407;0.171296;7.862956;0.039352;0.039352;66891.000000;0.055556;0.055556;2404.621691;0.020833;0.062500;1825.849000;0.067130;0.069444;9554.309000;0.013889;0.013889;222.880017;0.013889;0.013889;134.022567;0.013889;0.013889;134.022567;0.002315;0.006944;101.290237;0.006944;0.004630;223.405447;0.002315;0.002315;496.846802;0.016204;0.016204;1777.642952;0.016204;0.016204;291.899194;0.078704;0.078704;17.322393;0.030093;0.030093;1732.950895
0.016204;0.018519;144.537305;0.152778;0.192130;7.562315;0.030093;0.030093;287991.000000;0.057870;0.057870;2422.742232;0.039352;0.048611;1899.260000;0.087963;0.092593;9391.214000;0.002315;0.002315;223.559013;0.009259;0.009259;132.798984;0.009259;0.009259;132.798984;0.000000;0.000000;102.046455;0.013889;0.013889;223.761214;0.000000;0.002315;493.912097;0.009259;0.009259;1758.970171;0.009259;0.009259;575.505069;0.083333;0.083333;15.558626;0.018519;0.018519;1800.184803
0.023148;0.032407;207.290214;0.148148;0.168981;7.500812;0.043981;0.043981;189783.000000;0.046296;0.046296;2430.775176;0.027778;0.034722;1693.882000;0.092593;0.115741;9393.328000;0.020833;0.020833;224.191242;0.013889;0.013889;131.748813;0.013889;0.013889;131.748813;0.004630;0.009259;101.147259;0.023148;0.020833;224.819403;0.004630;0.013889;497.421943;0.018519;0.018519;1779.378165;0.018519;0.018519;291.558317;0.090278;0.092593;15.272925;0.027778;0.027778;1867.637801
0.011574;0.011574;258.591932;0.173611;0.182870;8.918799;0.060185;0.060185;212650.000000;0.048611;0.048611;2423.752335;0.018519;0.016204;1884.689000;0.092593;0.106482;9372.964000;0.013889;0.013889;225.864153;0.020833;0.020833;132.314262;0.020833;0.020833;132.314262;0.002315;0.002315;101.161849;0.011574;0.011574;224.286284;0.000000;0.000000;497.498039;0.020833;0.020833;1751.247031;0.020833;0.020833;290.261449;0.097222;0.097222;13.352790;0.025463;0.025463;1843.728306
0.009259;0.011574;209.427782;0.185185;0.192130;8.229055;0.041667;0.041667;81515.000000;0.043981;0.043981;2406.314421;0.016204;0.030093;1546.991000;0.101852;0.120370;9176.375000;0.011574;0.011574;223.064384;0.009259;0.009259;134.085839;0.009259;0.009259;134.085839;0.011574;0.016204;100.728288;0.011574;0.011574;224.037311;0.000000;0.000000;486.727692;0.006944;0.006944;1738.893392;0.006944;0.006944;285.136706;0.085648;0.085648;15.139794;0.027778;0.027778;1855.331573
0.016204;0.018519;227.509686;0.134259;0.187500;7.572167;0.046296;0.048611;104868.000000;0.041667;0.041667;2403.166069;0.039352;0.039352;1966.196000;0.138889;0.148148;9466.555000;0.009259;0.009259;223.328340;0.013889;0.011574;134.385344;0.013889;0.011574;134.385344;0.006944;0.006944;101.645853;0.016204;0.018519;224.478141;0.000000;0.000000;496.890926;0.011574;0.011574;1775.032286;0.011574;0.011574;290.524852;0.097222;0.101852;19.537904;0.025463;0.025463;2001.169872
0.016204;0.016204;226.994726;0.157407;0.171296;7.975832;0.030093;0.030093;80592.000000;0.023148;0.039352;2410.831122;0.009259;0.009259;1903.439000;0.127315;0.148148;9212.717000;0.006944;0.006944;222.713753;0.013889;0.013889;132.979190;0.013889;0.013889;132.979190;0.006944;0.006944;101.160185;0.011574;0.011574;223.525769;0.006944;0.006944;498.372345;0.013889;0.013889;1771.171263;0.013889;0.013889;289.726025;0.071759;0.069444;14.860209;0.025463;0.025463;1801.991567
0.025463;0.027778;227.249245;0.164352;0.185185;8.518130;0.034722;0.034722;100400.000000;0.048611;0.043981;2396.836154;0.027778;0.027778;1571.545000;0.120370;0.125000;9490.098000;0.011574;0.011574;223.346180;0.016204;0.016204;133.946911;0.016204;0.016204;133.946911;0.016204;0.020833;101.372866;0.025463;0.027778;224.233249;0.000000;0.000000;494.756749;0.027778;0.023148;1760.971147;0.027778;0.027778;292.898211;0.067130;0.067130;17.811223;0.020833;0.020833;1797.352171
