;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.333333;0.333333;13.975204;0.333333;0.333333;1.280053;0.333333;0.333333;0.000000;0.333333;0.333333;11.123921;0.333333;0.500000;5.854000;0.500000;0.500000;38.397000;0.500000;0.500000;2.577906;0.166667;0.333333;0.277720;0.166667;0.333333;11.361925;0.333333;0.500000;10.918212;0.333333;0.333333;10.018520;0.500000;0.333333;12.149406;0.166667;0.333333;0.479989;0.333333;0.333333;0.457171;0.333333;0.333333;0.241848;0.333333;0.333333;40.993504
0.500000;0.833333;10.958367;0.500000;0.500000;0.582168;0.333333;0.666667;1.000000;0.333333;0.666667;8.267370;0.333333;0.666667;6.200000;0.333333;0.833333;34.159000;0.333333;0.666667;2.545787;0.333333;0.666667;0.301020;0.333333;0.666667;11.630620;0.333333;0.666667;10.987421;0.500000;0.500000;10.069461;0.333333;0.666667;11.900896;0.333333;0.666667;0.461126;0.333333;0.666667;0.459620;0.333333;0.666667;0.213447;0.333333;0.666667;43.271261
0.166667;0.333333;11.761191;0.500000;0.333333;1.194002;0.333333;0.333333;1.000000;0.333333;0.500000;9.608072;0.333333;0.500000;5.632000;0.500000;0.666667;33.710000;0.333333;0.333333;2.606634;0.333333;0.333333;0.290709;0.333333;0.333333;11.785038;0.166667;0.500000;12.319436;0.166667;0.333333;9.958174;0.333333;0.333333;12.733217;0.500000;0.333333;0.462645;0.166667;0.333333;0.476879;0.333333;0.333333;0.197374;0.333333;0.333333;43.827126
0.166667;0.333333;14.664594;0.833333;0.666667;0.561898;0.333333;0.500000;0.000000;0.166667;0.666667;10.455153;0.166667;0.333333;5.726000;0.500000;0.500000;36.756000;0.166667;0.166667;2.548065;0.166667;0.333333;0.291362;0.166667;0.333333;11.285982;0.166667;0.000000;12.885564;0.166667;0.333333;10.095269;0.333333;0.166667;12.128217;0.166667;0.333333;0.461035;0.333333;0.333333;0.439653;0.166667;0.333333;0.195718;0.333333;0.333333;45.642052
0.333333;0.500000;12.628919;0.166667;0.666667;0.590082;0.333333;0.500000;0.000000;0.166667;0.166667;9.655684;0.166667;0.666667;5.554000;0.166667;0.500000;35.231000;0.166667;0.166667;2.567618;0.333333;0.333333;0.304676;0.333333;0.166667;11.632857;0.333333;0.333333;12.795410;0.333333;0.333333;9.894857;0.333333;0.500000;13.303339;0.333333;0.333333;0.460780;0.333333;0.500000;0.442331;0.333333;0.500000;0.224727;0.333333;0.166667;42.185688
0.166667;0.500000;11.373492;0.333333;0.500000;0.835829;0.333333;0.333333;1.000000;0.333333;0.833333;10.854038;0.333333;0.333333;6.096000;0.333333;0.333333;35.043000;0.333333;0.333333;2.549564;0.333333;0.333333;0.278755;0.333333;0.500000;10.698216;0.166667;0.500000;11.009014;0.166667;0.500000;9.982475;0.333333;0.500000;13.454286;0.333333;0.500000;0.459321;0.333333;0.333333;0.448953;0.333333;0.333333;0.260899;0.333333;0.333333;46.443880
0.166667;0.166667;15.529045;0.333333;0.500000;0.555486;0.500000;0.500000;1.000000;0.500000;0.666667;8.692845;0.166667;0.166667;6.593000;0.333333;0.500000;35.782000;0.500000;0.500000;2.577727;0.666667;0.666667;0.289150;0.500000;0.500000;11.847194;0.166667;0.500000;11.279094;0.166667;0.500000;9.983891;0.500000;0.500000;13.262603;0.333333;0.500000;0.468642;0.500000;0.500000;0.458275;0.500000;0.500000;0.235744;0.500000;0.500000;46.591621
0.000000;0.500000;14.912141;0.500000;1.166667;0.840888;0.333333;0.500000;0.000000;0.833333;0.500000;7.110274;0.333333;0.166667;5.840000;0.166667;0.333333;33.778000;0.666667;0.666667;2.549946;0.166667;0.166667;0.239458;0.333333;0.500000;11.591269;0.333333;0.666667;11.573817;0.166667;0.333333;9.825407;0.166667;0.333333;13.135927;0.333333;0.333333;0.463048;0.333333;0.500000;0.459532;0.333333;0.500000;0.222806;0.333333;0.500000;46.231702
0.333333;0.333333;16.313548;0.166667;0.333333;0.664062;0.333333;0.333333;0.000000;0.166667;0.333333;7.947611;0.333333;0.333333;5.800000;0.500000;0.666667;32.858000;0.333333;0.333333;2.581903;0.166667;0.333333;0.276851;0.333333;0.333333;10.999445;0.000000;0.333333;11.565569;0.333333;0.333333;9.912632;0.333333;0.333333;12.641045;0.166667;0.333333;0.472315;0.166667;0.333333;0.435834;0.333333;0.333333;0.240620;0.166667;0.333333;42.308465
0.333333;0.666667;20.546112;0.333333;0.833333;0.756550;0.333333;0.500000;0.275862;0.333333;0.666667;9.735041;0.333333;0.666667;5.879000;0.166667;0.333333;33.287000;0.333333;0.666667;2.564574;0.333333;0.500000;0.311873;0.333333;0.500000;11.171609;0.333333;0.666667;11.308654;0.333333;0.666667;9.882399;0.333333;0.500000;13.048480;0.333333;0.500000;0.459878;0.500000;0.500000;0.442182;0.333333;0.500000;0.201208;0.333333;0.333333;43.203246
0.333333;0.666667;13.706312;0.333333;0.500000;0.645402;0.333333;0.500000;0.000000;0.333333;0.500000;12.504592;0.333333;0.666667;5.779000;0.333333;0.666667;33.023000;0.333333;0.666667;2.564361;0.333333;0.500000;0.335506;0.333333;0.500000;11.144700;0.333333;0.666667;11.103672;0.333333;0.666667;10.265054;0.333333;0.666667;13.553585;0.333333;0.500000;0.459433;0.333333;0.500000;0.432841;0.333333;0.500000;0.192755;0.333333;0.333333;44.370291
0.500000;0.833333;14.783036;0.833333;0.833333;0.575349;0.333333;0.333333;0.000000;0.333333;1.000000;7.403357;0.333333;0.833333;6.108000;0.333333;0.333333;33.158000;0.333333;0.333333;2.575333;0.333333;0.333333;0.273698;0.166667;0.166667;11.216971;0.500000;0.833333;11.094113;0.500000;0.500000;10.483653;0.333333;0.333333;12.071823;0.166667;0.333333;0.479230;0.333333;0.500000;0.452193;0.166667;0.166667;0.227123;0.333333;0.333333;46.202577
