;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.440217;0.510870;163.951478;0.413043;0.489130;6.720108;0.369565;0.402174;56800.000000;0.396739;0.407609;952.395054;0.402174;0.445652;5661.736000;0.445652;0.635870;22591.579000;0.375000;0.402174;141.033266;0.847826;2.048913;21.682703;0.364130;0.402174;168.591336;0.331522;0.364130;59.149309;0.429348;0.505435;175.258089;0.375000;0.429348;382.197325;0.369565;0.413043;125.281685;0.364130;0.402174;109.221336;0.375000;0.402174;7.022659;0.369565;0.423913;205.650794
0.429348;0.510870;166.316716;0.483696;0.619565;7.329987;0.331522;0.342391;14501.000000;0.375000;0.391304;908.005414;0.434783;0.472826;5651.002000;0.440217;0.532609;22490.009000;0.364130;0.385870;142.479497;0.858696;2.059783;2.324441;0.336957;0.391304;221.739204;0.380435;0.413043;58.780574;0.423913;0.500000;160.906954;0.353261;0.391304;374.346296;0.320652;0.353261;125.339251;0.331522;0.364130;105.010179;0.358696;0.380435;9.089993;0.320652;0.336957;203.763333
0.440217;0.494565;165.091952;0.451087;0.521739;6.220794;0.277174;0.293478;90510.000000;0.364130;0.391304;895.832135;0.434783;0.375000;5574.413000;0.434783;0.456522;22460.727000;0.336957;0.358696;141.902756;0.858696;2.054348;0.946883;0.320652;0.347826;203.452426;0.342391;0.429348;58.946884;0.451087;0.510870;161.231639;0.315217;0.342391;376.023326;0.347826;0.385870;122.527225;0.320652;0.347826;107.738397;0.336957;0.315217;7.882429;0.347826;0.364130;197.065858
0.418478;0.538043;164.815760;0.375000;0.505435;4.757213;0.282609;0.293478;17496.000000;0.364130;0.407609;872.052815;0.380435;0.434783;5534.812000;0.407609;0.472826;23174.372000;0.358696;0.396739;141.966096;0.858696;2.059783;1.014764;0.347826;0.391304;145.812048;0.331522;0.385870;58.930916;0.500000;0.472826;161.557189;0.331522;0.413043;371.572817;0.336957;0.385870;125.324279;0.331522;0.380435;110.188246;0.320652;0.364130;7.564186;0.326087;0.375000;204.487892
0.467391;0.548913;164.449860;0.461957;0.538043;6.705914;0.298913;0.298913;29260.000000;0.364130;0.396739;851.336519;0.380435;0.434783;5641.233000;0.451087;0.543478;22184.923000;0.364130;0.385870;142.691588;0.858696;2.054348;1.111874;0.369565;0.396739;175.268713;0.353261;0.380435;58.652109;0.467391;0.467391;161.151878;0.326087;0.358696;375.782179;0.375000;0.396739;121.374587;0.364130;0.391304;105.709226;0.369565;0.407609;7.260322;0.331522;0.375000;202.267801
0.461957;0.538043;164.838124;0.451087;0.619565;5.726586;0.331522;0.347826;158891.000000;0.353261;0.391304;942.373843;0.451087;0.516304;5707.870000;0.532609;0.739130;21821.713000;0.369565;0.385870;141.131468;0.858696;2.054348;19.920851;0.353261;0.391304;167.387731;0.364130;0.402174;58.735514;0.461957;0.538043;160.936783;0.385870;0.440217;372.010303;0.402174;0.402174;126.616580;0.347826;0.423913;111.362797;0.358696;0.434783;9.849147;0.380435;0.456522;200.456887
0.440217;0.510870;162.960465;0.418478;0.538043;6.308311;0.336957;0.364130;63658.000000;0.402174;0.440217;859.686415;0.483696;0.500000;5605.029000;0.500000;0.641304;21880.306000;0.445652;0.489130;141.110698;0.858696;2.059783;20.240643;0.402174;0.456522;130.208286;0.375000;0.423913;58.123800;0.434783;0.521739;159.966595;0.385870;0.445652;366.077446;0.385870;0.451087;117.397734;0.402174;0.456522;100.906923;0.385870;0.418478;7.065543;0.429348;0.489130;208.864536
0.407609;0.472826;165.885596;0.385870;0.461957;5.345144;0.326087;0.375000;46946.000000;0.336957;0.375000;943.136884;0.380435;0.467391;5628.739000;0.391304;0.494565;22273.452000;0.380435;0.440217;144.415765;0.858696;2.059783;1.757635;0.456522;0.385870;205.730039;0.342391;0.385870;59.946079;0.407609;0.494565;162.375758;0.320652;0.391304;374.350382;0.434783;0.440217;123.488685;0.434783;0.413043;101.707554;0.342391;0.369565;7.936464;0.326087;0.413043;209.057184
0.461957;0.554348;165.120875;0.440217;0.445652;6.325812;0.277174;0.309783;26604.000000;0.369565;0.385870;903.200789;0.407609;0.500000;5637.875000;0.445652;0.576087;22264.520000;0.418478;0.461957;256.145742;0.858696;2.059783;1.016685;0.336957;0.391304;158.238918;0.440217;0.483696;58.725271;0.467391;0.559783;161.038399;0.358696;0.445652;379.462101;0.380435;0.445652;122.531763;0.336957;0.391304;102.766971;0.326087;0.369565;7.202424;0.336957;0.396739;206.651616
0.396739;0.472826;166.946309;0.478261;0.521739;6.814507;0.277174;0.304348;56038.620690;0.282609;0.385870;892.621908;0.451087;0.494565;5652.101000;0.554348;0.690217;23112.422000;0.380435;0.407609;142.793273;0.858696;2.065217;0.992903;0.353261;0.396739;147.988133;0.358696;0.396739;58.905946;0.451087;0.489130;161.648293;0.315217;0.358696;384.288084;0.364130;0.413043;127.501206;0.358696;0.391304;111.749046;0.342391;0.375000;7.380634;0.391304;0.440217;207.196908
0.440217;0.576087;165.339853;0.429348;0.586957;4.681808;0.266304;0.277174;41061.000000;0.413043;0.445652;919.754487;0.391304;0.440217;5659.573000;0.423913;0.494565;22326.653000;0.396739;0.434783;142.632419;0.858696;1.652174;21.667955;0.423913;0.418478;202.403528;0.380435;0.461957;59.877117;0.434783;0.527174;161.155183;0.369565;0.407609;372.751821;0.364130;0.434783;123.789549;0.413043;0.440217;103.708012;0.380435;0.391304;7.173141;0.380435;0.413043;206.303405
0.407609;0.472826;163.878620;0.391304;0.554348;6.962469;0.331522;0.342391;189519.000000;0.358696;0.385870;1041.275748;0.429348;0.505435;5641.541000;0.391304;0.527174;22560.998000;0.369565;0.407609;143.991961;0.826087;1.222826;19.918598;0.385870;0.413043;159.392235;0.336957;0.364130;58.787223;0.440217;0.527174;168.372632;0.331522;0.375000;378.482748;0.396739;0.423913;123.209872;0.380435;0.407609;112.921452;0.353261;0.375000;7.737328;0.396739;0.451087;202.050021
0.434783;0.483696;164.382700;0.472826;0.527174;6.942037;0.277174;0.293478;40744.000000;0.402174;0.385870;940.047634;0.472826;0.500000;5673.165000;0.483696;0.586956;22580.899000;0.391304;0.418478;142.615466;0.853261;2.043478;1.349780;0.336957;0.353261;206.571902;0.385870;0.423913;59.005437;0.472826;0.510870;173.799623;0.375000;0.418478;419.563923;0.336957;0.353261;123.105470;0.336957;0.369565;106.204777;0.336957;0.353261;7.752157;0.342391;0.375000;205.203595
0.494565;0.592391;163.637425;0.467391;0.641304;7.011152;0.298913;0.326087;61347.000000;0.375000;0.418478;1004.481559;0.494565;0.456522;5541.887000;0.483696;0.586956;21902.766000;0.375000;0.423913;144.268036;0.853261;2.048913;0.691023;0.353261;0.407609;167.491667;0.336957;0.461957;58.442967;0.440217;0.559783;293.539063;0.342391;0.385870;376.071457;0.358696;0.423913;117.337137;0.353261;0.407609;105.045777;0.353261;0.385870;7.561284;0.380435;0.396739;206.861403
