;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.376000;0.408000;50.846288;0.376000;0.424000;4.867661;0.408000;0.448000;4968.000000;0.448000;0.504000;751.880328;0.392000;0.428000;427.961000;0.388000;0.424000;1870.780000;0.360000;0.408000;38.656025;0.376000;0.412000;0.675912;0.344000;0.376000;2884.004017;0.376000;0.408000;32.187050;0.356000;0.416000;56.362720;0.368000;0.404000;117.076272;0.400000;0.404000;771.405082;0.368000;0.376000;1071.609022;0.404000;0.448000;11.514499;0.360000;0.424000;172.642589
0.380000;0.440000;32.204337;0.384000;0.420000;4.869036;0.436000;0.468000;8482.000000;0.508000;0.608000;650.468612;0.392000;0.416000;444.154000;0.372000;0.408000;1902.087000;0.440000;0.476000;38.676607;0.388000;0.412000;0.948351;0.400000;0.440000;3848.663083;0.392000;0.420000;32.608917;0.380000;0.400000;57.067692;0.384000;0.408000;118.608641;0.396000;0.432000;799.370590;0.400000;0.428000;1043.800529;0.432000;0.464000;11.526831;0.404000;0.412000;168.367452
0.396000;0.424000;32.663601;0.396000;0.420000;4.517512;0.396000;0.420000;4427.000000;0.472000;0.520000;789.079441;0.396000;0.424000;421.976000;0.420000;0.444000;1874.908000;0.440000;0.480000;38.595017;0.396000;0.416000;0.662619;0.428000;0.424000;4117.969644;0.416000;0.444000;32.367456;0.388000;0.444000;57.122328;0.392000;0.424000;120.513086;0.416000;0.424000;773.529931;0.428000;0.460000;1071.423676;0.396000;0.428000;11.427869;0.392000;0.424000;173.840146
0.356000;0.376000;57.427755;0.372000;0.420000;4.572916;0.356000;0.384000;4144.000000;0.480000;0.572000;787.763710;0.356000;0.376000;430.689000;0.412000;0.424000;1905.900000;0.404000;0.432000;38.718753;0.340000;0.360000;0.954271;0.352000;0.376000;3327.932811;0.352000;0.372000;31.947564;0.332000;0.352000;55.500135;0.336000;0.356000;119.157250;0.332000;0.392000;802.681193;0.348000;0.376000;1041.968631;0.372000;0.396000;13.987069;0.332000;0.380000;162.445079
0.336000;0.348000;57.593243;0.336000;0.388000;5.069096;0.396000;0.432000;3649.000000;0.404000;0.472000;788.550190;0.336000;0.376000;437.800000;0.364000;0.392000;1871.629000;0.380000;0.440000;38.704236;0.384000;0.420000;1.097885;0.368000;0.400000;3559.753191;0.324000;0.356000;31.601156;0.328000;0.348000;56.225256;0.340000;0.376000;119.864547;0.392000;0.424000;819.959924;0.392000;0.424000;1127.852835;0.380000;0.420000;11.280504;0.384000;0.428000;168.970457
0.328000;0.360000;130.633795;0.316000;0.336000;4.581731;0.348000;0.392000;2995.000000;0.436000;0.504000;734.079102;0.364000;0.348000;441.338000;0.360000;0.356000;1881.629000;0.360000;0.412000;38.653328;0.352000;0.388000;0.731748;0.316000;0.384000;2510.750081;0.316000;0.364000;32.627566;0.336000;0.376000;59.294966;0.332000;0.364000;117.601218;0.312000;0.388000;815.997840;0.352000;0.388000;1195.258891;0.340000;0.380000;12.652830;0.328000;0.388000;164.554286
0.388000;0.432000;119.065690;0.364000;0.408000;4.841601;0.416000;0.444000;5010.000000;0.440000;0.520000;1115.825103;0.380000;0.412000;318.086000;0.364000;0.404000;1900.740000;0.400000;0.424000;38.659874;0.376000;0.404000;1.000582;0.360000;0.400000;4654.638652;0.364000;0.384000;33.488399;0.404000;0.436000;56.889378;0.352000;0.372000;118.092465;0.360000;0.408000;778.928134;0.360000;0.392000;1147.357366;0.420000;0.452000;12.867027;0.356000;0.380000;160.288968
0.368000;0.412000;119.693870;0.368000;0.392000;4.148292;0.396000;0.424000;5991.000000;0.444000;0.516000;745.536114;0.396000;0.428000;316.961000;0.384000;0.416000;1897.022000;0.384000;0.432000;38.589823;0.352000;0.380000;0.774333;0.364000;0.396000;3089.105905;0.380000;0.416000;33.217198;0.360000;0.396000;57.723509;0.356000;0.420000;119.408180;0.372000;0.396000;789.866896;0.364000;0.400000;1105.458578;0.408000;0.440000;10.827096;0.368000;0.408000;170.442026
0.356000;0.392000;50.252987;0.356000;0.372000;4.345244;0.324000;0.360000;3379.000000;0.420000;0.488000;803.137061;0.336000;0.372000;311.575000;0.356000;0.392000;1864.209000;0.320000;0.356000;38.751784;0.324000;0.360000;0.805436;0.380000;0.380000;2708.705365;0.344000;0.372000;33.314164;0.356000;0.396000;54.771991;0.332000;0.368000;116.511491;0.360000;0.376000;866.108597;0.380000;0.428000;1092.667971;0.320000;0.360000;13.792212;0.360000;0.376000;169.274270
