;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.037037;0.037037;8.480395;0.074074;0.074074;3.121587;0.018519;0.018519;131.000000;0.018519;0.018519;79.536169;0.018519;0.018519;29.790000;0.000000;0.000000;236.267000;0.055556;0.055556;21.732243;0.018519;0.018519;0.384787;0.018519;0.018519;11.029389;0.018519;0.037037;21.164312;0.037037;0.055556;19.718369;0.037037;0.037037;15.106878;0.018519;0.018519;1.464570;0.018519;0.018519;1.893995;0.018519;0.018519;0.246469;0.055556;0.055556;57.796234
0.000000;0.000000;8.662374;0.018519;0.018519;2.871094;0.000000;0.000000;250.000000;0.000000;0.000000;75.421023;0.018519;0.018519;29.068000;0.018519;0.018519;233.797000;0.000000;0.000000;21.779656;0.000000;0.000000;0.313833;0.000000;0.000000;11.514759;0.000000;0.000000;20.904250;0.000000;0.000000;18.219314;0.000000;0.018519;15.484942;0.000000;0.000000;1.499680;0.000000;0.000000;1.541006;0.000000;0.000000;0.283527;0.018519;0.018519;62.699762
0.018519;0.018519;23.461897;0.037037;0.018519;3.934818;0.018519;0.018519;124.000000;0.037037;0.037037;78.749062;0.000000;0.000000;28.418000;0.018519;0.018519;252.623000;0.074074;0.074074;21.742212;0.018519;0.018519;0.345622;0.018519;0.018519;11.141018;0.000000;0.037037;16.378680;0.037037;0.018519;22.112009;0.018519;0.037037;14.863998;0.018519;0.037037;1.435861;0.018519;0.018519;1.501304;0.037037;0.037037;0.255367;0.037037;0.037037;59.517699
0.092593;0.092593;11.965870;0.055556;0.074074;2.279726;0.055556;0.055556;149.000000;0.037037;0.018519;81.837064;0.037037;0.037037;29.100000;0.018519;0.018519;237.690000;0.092593;0.092593;22.027468;0.055556;0.055556;0.297344;0.055556;0.037037;11.397991;0.092593;0.055556;19.390949;0.111111;0.037037;21.404880;0.074074;0.037037;17.695421;0.055556;0.055556;1.421941;0.055556;0.055556;1.477298;0.037037;0.037037;0.244003;0.018519;0.037037;62.681094
0.055556;0.055556;9.195106;0.037037;0.074074;3.601022;0.037037;0.037037;128.000000;0.018519;0.018519;73.104602;0.055556;0.055556;29.309000;0.018519;0.018519;236.246000;0.074074;0.074074;21.358045;0.037037;0.037037;0.350504;0.037037;0.037037;11.660316;0.037037;0.037037;15.655849;0.055556;0.018519;22.572191;0.018519;0.018519;15.411210;0.037037;0.037037;1.429041;0.037037;0.037037;1.472225;0.037037;0.037037;0.272451;0.018519;0.018519;63.639432
0.018519;0.018519;11.132658;0.092593;0.074074;3.663582;0.055556;0.055556;115.000000;0.018519;0.018519;64.557503;0.055556;0.055556;28.423000;0.018519;0.018519;236.151000;0.018519;0.018519;21.274742;0.018519;0.018519;0.345125;0.074074;0.018519;11.056565;0.074074;0.037037;17.219271;0.092593;0.037037;21.647179;0.074074;0.055556;15.821408;0.074074;0.018519;1.451044;0.074074;0.074074;1.546947;0.074074;0.074074;0.286220;0.055556;0.074074;62.525949
0.018519;0.018519;12.107820;0.074074;0.074074;3.302077;0.018519;0.018519;195.000000;0.018519;0.018519;65.102639;0.037037;0.037037;29.031000;0.037037;0.037037;245.349000;0.074074;0.074074;22.263072;0.018519;0.018519;0.352941;0.055556;0.055556;11.369333;0.037037;0.018519;18.430589;0.018519;0.037037;18.950948;0.037037;0.037037;15.685195;0.055556;0.055556;1.429713;0.055556;0.055556;1.497463;0.037037;0.037037;0.283145;0.037037;0.037037;63.667668
0.018519;0.018519;12.072928;0.037037;0.018519;2.609184;0.000000;0.000000;142.000000;0.018519;0.018519;73.659843;0.037037;0.037037;28.370000;0.037037;0.037037;239.433000;0.055556;0.055556;21.868413;0.000000;0.000000;0.325986;0.000000;0.055556;11.465649;0.018519;0.037037;15.246257;0.018519;0.111111;17.083050;0.055556;0.129630;15.608784;0.037037;0.055556;1.448094;0.037037;0.037037;1.476116;0.000000;0.000000;0.240181;0.055556;0.074074;62.332707
0.055556;0.055556;11.634555;0.092593;0.092593;3.315425;0.074074;0.074074;282.000000;0.055556;0.055556;72.655463;0.074074;0.074074;26.542000;0.074074;0.074074;237.267000;0.074074;0.074074;21.798250;0.055556;0.055556;0.303609;0.037037;0.037037;11.661396;0.074074;0.074074;15.516740;0.055556;0.055556;23.714487;0.055556;0.074074;16.016103;0.037037;0.055556;1.476048;0.037037;0.037037;1.561595;0.074074;0.074074;0.238790;0.037037;0.055556;63.297666
