;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.222222;0.222222;11.713205;0.777778;0.555556;1.584394;0.777778;0.777778;4.000000;0.444444;0.444444;13.492440;0.000000;0.000000;22.304000;0.333333;0.333333;149.309000;0.333333;0.333333;4.196320;0.666667;0.777778;0.398996;0.444444;0.444444;9.645481;0.333333;0.333333;16.504096;0.222222;0.222222;18.166582;0.333333;0.222222;12.758512;0.333333;0.444444;0.505180;0.333333;0.333333;0.980561;0.444444;0.444444;0.206958;0.333333;0.333333;47.783500
0.333333;0.333333;20.471893;0.111111;0.111111;1.483544;0.666667;0.666667;12.000000;0.222222;0.222222;12.411443;0.111111;0.111111;21.700000;0.222222;0.222222;146.889000;0.222222;0.222222;4.368610;0.666667;0.777778;0.390884;0.222222;0.222222;9.680766;0.222222;0.111111;18.310209;0.333333;0.333333;14.735407;0.222222;0.222222;13.003456;0.222222;0.222222;0.518253;0.222222;0.222222;0.535057;0.222222;0.222222;0.255898;0.333333;0.333333;46.571652
0.333333;0.333333;12.027061;0.222222;0.333333;1.182672;0.444444;0.444444;6.000000;0.222222;0.222222;12.099142;0.111111;0.333333;20.346000;0.222222;0.222222;145.806000;0.111111;0.111111;4.155114;0.444444;0.555556;0.469870;0.333333;0.333333;9.665045;0.333333;0.444444;14.795397;0.444444;0.333333;20.294630;0.333333;0.333333;12.627649;0.333333;0.333333;0.521490;0.333333;0.333333;0.534395;0.333333;0.333333;0.214972;0.111111;0.111111;47.987356
0.333333;0.333333;7.835032;0.555556;0.333333;1.618817;0.444444;0.444444;8.000000;0.333333;0.444444;10.378701;0.222222;0.333333;20.459000;0.555556;0.777778;153.352000;0.444444;0.444444;4.146988;0.333333;0.333333;0.389949;0.444444;0.333333;11.135525;0.333333;0.333333;13.260490;0.333333;0.333333;13.486597;0.333333;0.333333;13.040669;0.444444;0.333333;0.514027;0.444444;0.444444;0.465461;0.333333;0.333333;0.209532;0.444444;0.333333;48.130652
0.333333;0.333333;10.223522;0.333333;0.444444;1.080963;0.555556;0.555556;7.000000;0.333333;0.444444;6.849658;0.333333;0.333333;21.854000;0.333333;0.333333;146.315000;0.333333;0.333333;4.149668;0.444444;0.555556;0.398925;0.333333;0.333333;10.252813;0.333333;0.222222;16.044920;0.333333;0.333333;11.920070;0.333333;0.333333;12.923940;0.333333;0.333333;0.495587;0.333333;0.333333;0.463226;0.444444;0.444444;0.217718;0.333333;0.444444;48.592630
0.333333;0.333333;10.196733;0.555556;0.333333;0.985930;0.222222;0.222222;2.000000;0.444444;0.333333;7.573470;0.222222;0.222222;21.158000;0.333333;0.444444;151.588000;0.333333;0.333333;4.173587;0.555556;0.555556;0.396986;0.222222;0.333333;9.936190;0.222222;0.333333;18.117222;0.333333;0.333333;11.792176;0.444444;0.555556;13.218016;0.444444;0.333333;0.525113;0.222222;0.222222;0.472156;0.222222;0.222222;0.233738;0.333333;0.222222;46.653820
0.333333;0.444444;25.718543;0.111111;0.222222;1.274007;0.666667;0.666667;13.000000;0.222222;0.333333;6.359196;0.222222;0.222222;21.562000;0.333333;0.333333;146.609000;0.333333;0.333333;4.305584;0.333333;0.333333;0.401645;0.444444;0.444444;9.715761;0.333333;0.111111;16.582058;0.333333;0.333333;16.420828;0.444444;0.111111;13.167830;0.222222;0.444444;0.516236;0.444444;0.444444;0.463386;0.333333;0.333333;0.228220;0.444444;0.333333;49.190688
0.222222;0.222222;7.620793;0.222222;0.333333;1.249442;0.111111;0.111111;4.000000;0.222222;0.222222;6.413502;0.333333;0.222222;20.381000;0.333333;0.333333;158.259000;0.111111;0.111111;4.206198;0.333333;0.333333;0.481985;0.333333;0.222222;10.387651;0.222222;0.222222;13.562411;0.333333;0.222222;20.588356;0.333333;0.222222;12.972136;0.444444;0.333333;0.516325;0.333333;0.333333;0.480244;0.333333;0.333333;0.217747;0.222222;0.222222;48.605834
0.333333;0.333333;25.550677;0.333333;0.444444;1.033725;0.555556;0.555556;3.000000;0.222222;0.222222;5.457199;0.222222;0.222222;22.382000;0.111111;0.222222;150.748000;0.222222;0.222222;4.286190;0.333333;0.333333;0.427165;0.222222;0.222222;9.679892;0.333333;0.333333;10.774948;0.444444;0.333333;12.857343;0.444444;0.333333;13.122260;0.222222;0.222222;0.497573;0.222222;0.222222;0.472697;0.222222;0.222222;0.217092;0.333333;0.333333;48.551545
0.333333;0.333333;8.231763;0.555556;0.333333;1.217406;0.444444;0.555556;5.862069;0.333333;0.333333;5.424213;0.000000;0.111111;22.246000;0.111111;0.111111;146.911000;0.222222;0.222222;4.206696;0.666667;0.666667;0.398626;0.000000;0.333333;10.327976;0.000000;0.000000;12.047192;0.222222;0.222222;13.129129;0.222222;0.333333;13.264450;0.333333;0.333333;0.527110;0.333333;0.333333;0.471819;0.333333;0.333333;0.195132;0.333333;0.444444;49.221283
0.222222;0.222222;11.108473;0.333333;0.333333;1.235381;0.444444;0.444444;14.000000;0.444444;0.555556;4.489882;0.444444;0.444444;21.634000;0.111111;0.111111;150.362000;0.333333;0.333333;4.147103;0.666667;0.666667;0.391017;0.333333;0.333333;9.977943;0.555556;0.555556;17.117368;0.333333;0.333333;11.940937;0.333333;0.333333;13.345003;0.333333;0.333333;0.539318;0.333333;0.333333;0.482587;0.333333;0.333333;0.210366;0.333333;0.333333;46.743980
0.444444;0.444444;12.393178;0.333333;0.333333;1.394102;0.444444;0.444444;14.000000;0.333333;0.333333;4.459247;0.111111;0.111111;22.851000;0.555556;0.666667;146.185000;0.333333;0.333333;4.149020;0.666667;0.777778;0.394835;0.333333;0.333333;10.362799;0.444444;0.444444;14.562166;0.444444;0.333333;16.935179;0.333333;0.444444;13.210014;0.333333;0.333333;0.498046;0.333333;0.333333;0.476523;0.333333;0.333333;0.240786;0.333333;0.222222;49.695418
0.333333;0.333333;12.530992;0.111111;0.666667;0.951964;0.222222;0.222222;3.000000;0.333333;0.333333;4.517744;0.222222;0.222222;21.568000;0.111111;0.111111;146.531000;0.333333;0.333333;4.354126;0.555556;0.666667;0.443361;0.444444;0.222222;9.693932;0.222222;0.222222;11.580077;0.222222;0.222222;14.212105;0.222222;0.222222;13.221646;0.444444;0.222222;0.501876;0.444444;0.444444;0.473280;0.333333;0.333333;0.220600;0.333333;0.222222;47.067062
0.222222;0.333333;12.779810;0.333333;0.555556;1.209613;0.222222;0.222222;5.000000;0.333333;0.444444;18.546060;0.222222;0.222222;21.196000;0.333333;0.333333;152.370000;0.222222;0.222222;4.374208;0.666667;0.666667;0.398162;0.222222;0.333333;10.231160;0.333333;0.222222;11.138986;0.222222;0.222222;13.433623;0.333333;0.333333;13.283383;0.333333;0.333333;0.499221;0.333333;0.333333;0.465348;0.333333;0.333333;0.238089;0.333333;0.333333;49.070746
0.111111;0.111111;7.663427;0.333333;0.333333;1.118980;0.444444;0.444444;6.000000;0.111111;0.222222;5.197813;0.333333;0.333333;21.970000;0.111111;0.111111;145.849000;0.111111;0.111111;4.266673;0.444444;0.555556;0.405985;0.111111;0.111111;10.449524;0.111111;0.111111;13.539005;0.111111;0.555556;14.387520;0.111111;0.111111;13.162327;0.333333;0.111111;0.524122;0.111111;0.111111;0.474085;0.111111;0.111111;0.215274;0.111111;0.111111;49.202324
0.222222;0.222222;13.428613;0.555556;0.333333;1.306027;0.666667;0.888889;5.000000;0.222222;0.222222;4.567147;0.222222;0.222222;22.351000;0.666667;0.777778;147.653000;0.222222;0.222222;4.156386;0.444444;0.666667;0.428892;0.222222;0.333333;10.157774;0.111111;0.111111;16.673568;0.333333;0.222222;15.916527;0.222222;0.111111;13.507572;0.333333;0.333333;0.509612;0.333333;0.333333;0.495847;0.333333;0.333333;0.216709;0.111111;0.333333;49.160414
0.444444;0.555556;13.379148;0.333333;0.555556;0.849283;0.444444;0.444444;5.000000;0.333333;0.333333;5.143232;0.333333;0.333333;19.470000;0.555556;0.555556;149.007000;0.444444;0.444444;4.124990;0.666667;0.888889;0.416453;0.444444;0.444444;9.667848;0.333333;0.333333;13.213138;0.444444;0.333333;15.226419;0.444444;0.222222;13.156404;0.333333;0.444444;0.517560;0.333333;0.333333;0.465899;0.333333;0.333333;0.228949;0.333333;0.333333;48.508438
0.444444;0.444444;11.395976;0.777778;0.555556;1.108708;0.666667;0.666667;5.000000;0.222222;0.222222;12.953325;0.222222;0.222222;19.253000;0.555556;0.666667;156.352000;0.444444;0.444444;4.265635;0.666667;0.777778;0.382636;0.333333;0.333333;10.923728;0.444444;0.666667;17.330214;0.444444;0.333333;12.978891;0.333333;0.333333;14.276335;0.333333;0.333333;0.502884;0.333333;0.333333;0.465135;0.555556;0.333333;0.229815;0.444444;0.333333;47.687940
0.222222;0.222222;10.794293;0.444444;0.333333;0.932687;0.333333;0.333333;2.000000;0.333333;0.333333;12.602110;0.333333;0.333333;19.277000;0.444444;0.555556;146.699000;0.444444;0.444444;4.130306;0.666667;0.777778;0.383584;0.333333;0.333333;10.854197;0.222222;0.222222;16.257893;0.222222;0.222222;13.072406;0.222222;0.222222;12.610576;0.333333;0.444444;0.497755;0.333333;0.333333;0.467408;0.222222;0.222222;0.229694;0.222222;0.333333;47.817613
0.222222;0.222222;11.922564;0.444444;0.444444;1.101562;0.666667;0.666667;6.000000;0.333333;0.333333;13.199228;0.222222;0.222222;20.016000;0.333333;0.333333;151.812000;0.222222;0.222222;4.197246;0.666667;0.888889;0.473491;0.222222;0.222222;9.894360;0.333333;0.222222;14.173722;0.222222;0.222222;18.694949;0.222222;0.111111;12.961148;0.222222;0.222222;0.501331;0.222222;0.222222;0.468216;0.333333;0.333333;0.206269;0.222222;0.222222;47.919371
0.333333;0.333333;11.683935;0.333333;0.333333;1.554934;0.555556;0.555556;2.000000;0.444444;0.444444;12.371385;0.333333;0.444444;20.368000;0.444444;0.444444;143.854000;0.444444;0.444444;4.218186;0.555556;0.555556;0.377398;0.333333;0.333333;10.364246;0.333333;0.333333;17.556496;0.333333;0.333333;18.405884;0.333333;0.222222;12.766880;0.444444;0.444444;0.497238;0.444444;0.444444;0.481141;0.333333;0.333333;0.248947;0.444444;0.444444;47.298527
0.222222;0.222222;11.300746;0.777778;0.111111;0.932449;0.666667;0.666667;12.000000;0.333333;0.222222;14.295559;0.111111;0.111111;20.643000;0.555556;0.555556;146.968000;0.222222;0.222222;4.183407;0.222222;0.222222;0.399030;0.333333;0.444444;10.366675;0.444444;0.333333;19.267880;0.222222;0.333333;14.677102;0.333333;0.333333;12.945500;0.333333;0.222222;0.536547;0.444444;0.444444;0.473801;0.333333;0.333333;0.237812;0.333333;0.333333;47.764305
0.222222;0.222222;11.250373;0.222222;0.222222;1.239988;0.222222;0.222222;5.000000;0.222222;0.333333;11.584704;0.333333;0.333333;20.524000;0.222222;0.111111;148.916000;0.333333;0.333333;4.128719;0.333333;0.444444;0.381670;0.333333;0.333333;10.177238;0.222222;0.222222;15.100466;0.222222;0.333333;21.017476;0.222222;0.222222;13.247674;0.222222;0.333333;0.555336;0.222222;0.222222;0.543684;0.333333;0.333333;0.238786;0.222222;0.222222;47.830587
0.333333;0.333333;11.118010;0.444444;0.555556;0.848252;0.333333;0.333333;7.000000;0.333333;0.333333;18.708648;0.333333;0.333333;20.052000;0.000000;0.000000;147.436000;0.111111;0.111111;4.195056;0.555556;0.666667;0.406497;0.222222;0.222222;9.724578;0.222222;0.333333;19.339587;0.333333;0.333333;16.025733;0.444444;0.333333;13.270564;0.222222;0.111111;0.516184;0.222222;0.222222;0.509165;0.111111;0.111111;0.225347;0.333333;0.333333;46.353768
0.333333;0.333333;20.727605;0.333333;0.444444;0.915658;0.444444;0.444444;4.000000;0.222222;0.222222;12.638956;0.111111;0.111111;20.268000;0.333333;0.111111;151.761000;0.111111;0.111111;4.293424;0.222222;0.222222;0.393805;0.333333;0.111111;10.254518;0.333333;0.222222;14.388946;0.333333;0.222222;12.321495;0.222222;0.222222;13.012149;0.111111;0.111111;0.498639;0.222222;0.222222;0.475683;0.222222;0.222222;0.245925;0.333333;0.222222;48.662914
0.555556;0.555556;10.630265;0.444444;0.555556;0.980729;0.333333;0.333333;2.000000;0.666667;0.777778;8.560554;0.333333;0.333333;22.837000;0.444444;0.444444;146.255000;0.444444;0.444444;4.150293;0.444444;0.555556;0.403674;0.555556;0.555556;10.249706;0.444444;0.444444;14.580802;0.555556;0.444444;11.872751;0.444444;0.555556;13.161410;0.777778;0.555556;0.547526;0.777778;0.777778;0.480309;0.555556;0.555556;0.221042;0.777778;0.777778;49.238412
