;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.461538;0.615385;8.522971;0.461538;0.615385;1.660721;0.615385;0.769231;5.000000;0.461538;0.615385;5.595445;0.307692;0.307692;45.567000;0.307692;0.384615;419.246000;0.461538;0.461538;8.192875;0.692308;0.923077;0.561309;0.461538;0.384615;10.425068;0.384615;0.615385;16.396880;0.615385;0.461538;20.500454;0.384615;0.461538;14.856077;0.461538;0.538462;0.616685;0.461538;0.461538;0.581199;0.384615;0.384615;0.253485;0.461538;0.461538;49.139070
0.230769;0.307692;16.739673;0.230769;0.461538;2.255667;0.538462;0.538462;10.000000;0.538462;0.461538;5.629503;0.153846;0.153846;42.340000;0.769231;0.846154;418.657000;0.307692;0.307692;7.974880;0.461538;0.615385;0.650275;0.384615;0.461538;9.906581;0.230769;0.230769;16.014164;0.230769;0.307692;14.603473;0.230769;0.384615;13.708010;0.384615;0.461538;0.616421;0.384615;0.384615;0.559826;0.384615;0.384615;0.234998;0.461538;0.461538;50.634212
0.538462;0.538462;14.629285;0.384615;0.461538;1.315874;0.538462;0.538462;8.000000;0.230769;0.076923;5.821344;0.615385;0.615385;47.253000;0.538462;0.538462;443.502000;0.153846;0.153846;7.533716;0.538462;0.538462;0.612259;0.230769;0.230769;10.444963;0.384615;0.384615;17.860442;0.615385;0.384615;13.623263;0.461538;0.461538;13.548555;0.230769;0.384615;0.640597;0.230769;0.230769;0.565212;0.230769;0.230769;0.208973;0.384615;0.384615;48.838623
0.384615;0.538462;15.981407;0.384615;0.538462;2.261378;0.615385;0.615385;9.000000;0.538462;0.615385;5.731737;0.307692;0.307692;42.776000;0.461538;0.615385;454.774000;0.538462;0.538462;7.604124;0.692308;1.000000;0.619493;0.615385;0.615385;11.297202;0.461538;0.538462;16.615164;0.384615;0.538462;15.014859;0.384615;0.615385;13.666798;0.615385;0.615385;0.618170;0.615385;0.615385;0.545409;0.615385;0.615385;0.243286;0.538462;0.538462;48.796811
0.307692;0.307692;17.079309;0.384615;0.307692;1.323399;0.538462;0.692308;82.000000;0.384615;0.307692;5.824344;0.384615;0.461539;44.621000;0.615385;0.615385;426.888000;0.384615;0.384615;7.492645;0.384615;0.461538;0.582329;0.307692;0.307692;11.452193;0.384615;0.307692;14.344069;0.307692;0.615385;12.123853;0.307692;0.307692;13.830702;0.307692;0.307692;0.606663;0.307692;0.307692;0.567152;0.384615;0.384615;0.234669;0.384615;0.307692;49.693027
0.230769;0.307692;8.111473;0.692308;0.384615;1.549080;0.615385;0.615385;6.000000;0.538462;0.461538;5.520016;0.384615;0.384615;48.054000;0.538462;0.615385;404.839000;0.384615;0.384615;7.704312;0.615385;0.769231;0.597459;0.384615;0.307692;10.699434;0.307692;0.692308;13.786704;0.153846;0.384615;14.886464;0.461538;0.538462;13.427576;0.384615;0.307692;0.598343;0.384615;0.461538;0.539954;0.384615;0.461538;0.245704;0.307692;0.384615;48.699003
0.538462;0.538462;20.973284;0.692308;1.000000;1.229786;0.538462;0.538462;9.000000;0.384615;0.538462;5.170447;0.384615;0.461539;45.397000;0.538462;0.538462;441.174000;0.384615;0.384615;7.967521;0.692308;0.923077;0.597559;0.538462;0.538462;9.867882;0.307692;0.384615;14.656205;0.538462;0.615385;15.286019;0.384615;0.384615;13.706074;0.538462;0.538462;0.599573;0.538462;0.538462;0.558562;0.538462;0.538462;0.214955;0.615385;0.615385;48.676167
0.538462;0.615385;23.509634;0.461538;0.538462;2.036728;0.538462;0.692308;7.000000;0.384615;0.384615;5.623762;0.461538;0.615385;46.964000;0.538462;0.615385;412.701000;0.461538;0.461538;8.079269;0.307692;0.384615;0.596172;0.461538;0.461538;10.120219;0.461538;0.461538;11.405108;0.538462;0.692308;13.953638;0.461538;0.461538;14.043727;0.461538;0.461538;0.611007;0.461538;0.461538;0.558303;0.384615;0.384615;0.203637;0.461538;0.461538;48.650919
0.384615;0.461538;25.336048;0.461538;0.307692;1.411265;0.538462;0.538462;6.000000;0.307692;0.307692;6.165197;0.461538;0.461539;44.570000;0.384615;0.384615;419.799000;0.153846;0.153846;7.549282;0.615385;0.769231;0.640166;0.307692;0.307692;10.407050;0.307692;0.384615;12.083387;0.384615;0.461538;17.274743;0.384615;0.230769;13.604894;0.307692;0.307692;0.599745;0.230769;0.230769;0.565698;0.230769;0.230769;0.232079;0.384615;0.230769;49.621637
0.384615;0.384615;25.599963;0.692308;0.384615;1.667361;0.538462;0.538462;16.000000;0.307692;0.307692;5.807143;0.461538;0.384615;41.983000;0.692308;0.615385;403.665000;0.384615;0.384615;7.867149;0.384615;0.461538;0.561322;0.307692;0.307692;9.965823;0.384615;0.307692;11.464020;0.461538;0.692308;15.840575;0.384615;0.384615;13.875746;0.307692;0.307692;0.600079;0.307692;0.307692;0.563642;0.307692;0.307692;0.226757;0.384615;0.384615;49.636636
0.461538;0.461538;25.784853;0.461538;0.461538;2.044259;0.538462;0.692308;6.000000;0.307692;0.230769;6.058594;0.384615;0.384615;43.720000;0.692308;0.692308;437.006000;0.384615;0.384615;7.653800;0.538462;0.769231;0.621550;0.384615;0.230769;10.357656;0.384615;0.384615;11.471615;0.461538;0.307692;15.609588;0.384615;0.384615;13.669722;0.384615;0.230769;0.595893;0.384615;0.384615;0.561275;0.384615;0.384615;0.246180;0.384615;0.307692;48.116608
0.384615;0.461538;8.564656;0.538462;0.384615;1.952726;0.615385;0.769231;17.000000;0.461538;0.307692;6.196370;0.538462;0.615385;42.298000;0.384615;0.461539;397.572000;0.384615;0.384615;7.929030;0.692308;0.846154;0.570677;0.384615;0.307692;10.223535;0.307692;0.307692;13.678977;0.384615;0.461538;15.397675;0.384615;0.461538;13.627862;0.384615;0.384615;0.654585;0.384615;0.384615;1.243328;0.461538;0.461538;0.262608;0.307692;0.384615;49.083273
0.307692;0.384615;26.665040;0.461538;0.461538;1.974850;0.615385;0.769231;9.000000;0.538462;0.384615;4.905456;0.461538;0.461539;45.202000;0.538462;0.153846;419.281000;0.461538;0.461538;7.818783;0.692308;0.846154;0.571034;0.230769;0.230769;10.406849;0.230769;0.230769;11.819344;0.307692;0.384615;17.635153;0.384615;0.461538;13.443626;0.307692;0.307692;0.621996;0.307692;0.307692;0.558554;0.230769;0.230769;0.218737;0.384615;0.384615;47.183910
0.307692;0.307692;8.126811;0.230769;0.461538;1.702030;0.538462;0.692308;18.000000;0.307692;0.384615;5.329479;0.538462;0.615385;42.255000;0.615385;0.692308;411.712000;0.384615;0.384615;8.311264;0.769231;1.000000;0.682283;0.307692;0.307692;10.479117;0.384615;0.384615;13.087499;0.384615;0.307692;15.644145;0.461538;0.461538;13.687431;0.384615;0.307692;0.603755;0.307692;0.307692;0.546497;0.307692;0.307692;0.198094;0.307692;0.307692;50.388389
0.615385;0.769231;9.128364;0.615385;0.615385;1.270051;0.615385;0.769231;19.000000;0.615385;0.538462;5.351516;0.538462;0.307692;48.621000;0.461538;0.461539;435.688000;0.538462;0.538462;8.153327;0.846154;1.230769;0.595948;0.692308;0.692308;9.854270;0.538462;0.461538;11.188557;0.615385;0.769231;16.380145;0.461538;0.461538;13.837645;0.692308;0.692308;0.612479;0.692308;0.692308;0.551511;0.692308;0.692308;0.216900;0.615385;0.538462;49.647885
0.230769;0.230769;22.374352;0.153846;0.384615;1.326320;0.538462;0.538462;12.000000;0.538462;0.230769;5.860623;0.307692;0.384615;44.002000;0.384615;0.461539;418.478000;0.461538;0.461538;8.017584;0.692308;0.923077;0.574847;0.307692;0.307692;10.071616;0.230769;0.230769;10.917556;0.230769;0.230769;15.478842;0.307692;0.230769;13.581312;0.307692;0.307692;0.613290;0.307692;0.307692;0.561563;0.307692;0.307692;0.236355;0.307692;0.230769;50.524778
0.461538;0.384615;25.533781;0.307692;0.538462;1.697297;0.538462;0.692308;14.000000;0.384615;0.384615;6.210951;0.307692;0.153846;44.299000;0.615385;0.615385;412.225000;0.230769;0.230769;8.213177;0.692308;0.923077;0.636598;0.461538;0.307692;10.461426;0.307692;0.307692;14.417186;0.384615;0.384615;13.126520;0.230769;0.230769;14.995082;0.307692;0.307692;0.649556;0.307692;0.307692;0.564480;0.230769;0.230769;0.244266;0.384615;0.384615;49.327560
0.461538;0.538462;13.664960;0.307692;0.615385;1.994406;0.615385;0.769231;6.000000;0.384615;0.461538;5.050806;0.461538;0.461539;44.194000;0.384615;0.538462;415.358000;0.384615;0.384615;7.995868;0.923077;1.384615;0.675529;0.538462;0.307692;10.258067;0.461538;0.615385;13.225803;0.461538;0.538462;15.154705;0.538462;0.538462;13.863504;0.461538;0.461538;0.655289;0.461538;0.461538;0.563625;0.538462;0.538462;0.205161;0.538462;0.538462;47.587907
0.076923;0.153846;7.904810;0.384615;0.230769;1.406300;0.615385;0.769231;9.000000;0.230769;0.230769;5.137851;0.153846;0.230769;45.996000;0.461538;0.538462;405.401000;0.230769;0.230769;7.626303;0.307692;0.384615;0.655734;0.153846;0.230769;10.469532;0.076923;0.230769;15.959744;0.076923;0.230769;14.922693;0.615385;0.153846;13.961485;0.153846;0.153846;0.603208;0.153846;0.153846;0.549549;0.153846;0.153846;0.221338;0.230769;0.230769;49.502086
0.538462;0.615385;8.126973;0.384615;0.769231;1.995985;0.615385;0.769231;9.000000;0.384615;0.384615;5.843050;0.307692;0.307692;46.043000;0.461538;0.692308;424.628000;0.307692;0.307692;7.536841;0.692308;0.923077;0.681370;0.461538;0.461538;9.863894;0.384615;0.384615;14.011350;0.538462;0.615385;14.943120;0.461538;0.384615;13.624918;0.461538;0.461538;0.610965;0.461538;0.461538;0.560780;0.461538;0.461538;0.229613;0.461538;0.384615;49.129769
0.461538;0.538462;15.404553;0.307692;0.384615;1.571151;0.615385;0.615385;46.000000;0.230769;0.230769;5.499474;0.461538;0.461539;47.706000;0.307692;0.307692;425.238000;0.230769;0.230769;8.384931;0.615385;0.692308;0.578802;0.230769;0.230769;10.506682;0.307692;0.384615;15.569422;0.461538;0.692308;14.858315;0.384615;0.384615;13.675361;0.230769;0.230769;0.601919;0.230769;0.230769;0.576775;0.230769;0.230769;0.252399;0.230769;0.384615;49.482294
0.230769;0.230769;15.814662;0.307692;0.230769;1.360790;0.230769;0.230769;41.000000;0.307692;0.307692;5.923476;0.538462;0.538462;49.526000;0.307692;0.307692;442.065000;0.307692;0.307692;7.494964;0.538462;0.769231;0.608746;0.307692;0.153846;10.191397;0.307692;0.076923;12.502345;0.230769;0.230769;14.259855;0.307692;0.307692;13.626859;0.307692;0.153846;0.598406;0.307692;0.307692;0.547643;0.153846;0.153846;0.244357;0.230769;0.307692;47.577610
0.153846;0.153846;8.179492;0.538462;0.769231;2.201769;0.230769;0.230769;15.000000;0.538462;0.384615;5.547512;0.230769;0.461539;46.319000;0.615385;0.615385;415.610000;0.615385;0.615385;7.902987;0.615385;0.923077;0.693610;0.538462;0.538462;9.873031;0.307692;0.230769;13.745916;0.153846;0.153846;13.692094;0.230769;0.307692;13.587575;0.538462;0.538462;0.604977;0.538462;0.538462;1.213724;0.461538;0.461538;0.210791;0.461538;0.461538;49.377165
0.461538;0.538462;15.903469;0.461538;0.538462;2.117773;0.615385;0.769231;11.000000;0.538462;0.692308;5.372955;0.538462;0.615385;46.561000;0.692308;0.846154;424.487000;0.538462;0.538462;7.788516;0.615385;0.846154;0.600659;0.538462;0.615385;10.162041;0.461538;0.538462;15.440985;0.461538;0.538462;13.901090;0.538462;0.615385;13.679525;0.538462;0.615385;0.642790;0.538462;0.615385;0.548314;0.538462;0.615385;0.215219;0.538462;0.538462;50.246631
0.461538;0.461538;15.333736;0.307692;0.307692;2.119894;0.615385;0.769231;8.000000;0.153846;0.153846;5.390901;0.384615;0.384615;45.553000;0.384615;0.384615;446.939000;0.076923;0.076923;8.491009;0.692308;0.923077;0.636286;0.230769;0.153846;10.596652;0.307692;0.307692;14.907049;0.461538;0.461538;14.443442;0.307692;0.461538;13.996429;0.230769;0.153846;0.597792;0.230769;0.230769;0.556295;0.230769;0.230769;0.206941;0.153846;0.153846;47.370702
0.384615;0.461538;8.960522;0.461538;0.692308;1.845875;0.615385;0.615385;17.000000;0.153846;0.230769;5.979156;0.307692;0.307692;46.207000;0.461538;0.538462;421.007000;0.230769;0.230769;7.911508;0.461538;0.461538;0.657562;0.307692;0.153846;10.422662;0.461538;0.307692;13.747479;0.384615;0.615385;18.110191;0.384615;0.461538;14.075265;0.307692;0.230769;0.610996;0.307692;0.307692;0.590286;0.461538;0.461538;0.207441;0.307692;0.230769;50.147622
0.461538;0.538462;15.591175;0.923077;0.615385;2.268289;0.615385;0.615385;12.000000;0.461538;0.461538;6.853835;0.461538;0.538462;45.618000;0.538462;0.692308;430.418000;0.384615;0.384615;7.784685;0.615385;0.846154;0.605788;0.384615;0.384615;11.061748;0.384615;0.307692;13.886767;0.461538;0.538462;13.467607;0.461538;0.461538;13.702786;0.384615;0.384615;0.604015;0.384615;0.384615;0.567268;0.384615;0.384615;0.208540;0.307692;0.153846;49.775472
0.461538;0.538462;16.701585;0.538462;0.538462;1.646313;0.538462;0.692308;15.000000;0.461538;0.538462;5.909231;0.384615;0.384615;46.433000;0.384615;0.384615;425.371000;0.384615;0.384615;7.787722;0.769231;1.000000;0.625363;0.384615;0.307692;11.087309;0.461538;0.538462;14.888430;0.461538;0.538462;14.173336;0.538462;0.615385;13.984718;0.307692;0.307692;0.645731;0.384615;0.384615;0.570925;0.384615;0.384615;0.218010;0.384615;0.384615;47.477140
0.307692;0.307692;14.961989;0.384615;0.153846;2.044889;0.538462;0.538462;22.000000;0.384615;0.230769;5.644218;0.307692;0.307692;46.081000;0.615385;0.692308;430.869000;0.384615;0.384615;7.614887;0.538462;0.615385;0.601920;0.384615;0.384615;11.230980;0.461538;0.461538;13.878219;0.307692;0.307692;14.585925;0.384615;0.384615;15.122775;0.384615;0.384615;0.597091;0.384615;0.384615;0.543410;0.384615;0.384615;0.226501;0.307692;0.153846;49.368850
0.615385;0.307692;14.023853;0.384615;0.384615;1.653562;0.384615;0.384615;16.000000;0.307692;0.384615;6.010826;0.307692;0.538462;48.819000;0.307692;0.307692;434.530000;0.384615;0.384615;7.914141;0.846154;1.230769;0.584041;0.153846;0.153846;9.875820;0.384615;0.307692;16.005333;0.615385;0.307692;11.788881;0.461538;0.307692;13.489800;0.153846;0.153846;0.613004;0.153846;0.307692;0.549157;0.307692;0.307692;0.214262;0.384615;0.384615;48.795999
