;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.230769;0.307692;7.974178;0.307692;0.538462;2.096703;0.538462;0.538462;14.000000;0.153846;0.153846;6.009198;0.307692;0.307692;45.372000;0.461538;0.461539;440.723000;0.384615;0.384615;7.433393;0.769231;0.846154;0.556484;0.230769;0.307692;10.393026;0.230769;0.230769;13.399242;0.230769;0.307692;12.775005;0.307692;0.384615;13.398026;0.230769;0.307692;0.606363;0.230769;0.307692;0.530816;0.230769;0.307692;0.261020;0.230769;0.230769;49.342839
0.230769;0.230769;23.994381;0.384615;0.307692;1.042609;0.307692;0.307692;21.000000;0.153846;0.153846;5.220455;0.307692;0.307692;41.327000;0.307692;0.307692;417.389000;0.230769;0.230769;7.938815;0.615385;0.769231;0.596110;0.076923;0.076923;10.366669;0.230769;0.230769;12.872473;0.230769;0.153846;13.205429;0.153846;0.153846;13.882526;0.076923;0.076923;0.605133;0.076923;0.076923;0.537159;0.307692;0.307692;0.218430;0.076923;0.076923;51.066221
0.076923;0.153846;26.374949;0.384615;0.307692;1.041621;0.153846;0.153846;23.000000;0.076923;0.076923;6.272393;0.230769;0.153846;42.624000;0.000000;0.461539;413.485000;0.076923;0.076923;7.452507;0.692308;0.923077;0.627834;0.000000;0.000000;10.745552;0.000000;0.000000;11.424969;0.076923;0.076923;14.985427;0.153846;0.153846;13.488697;0.000000;0.000000;0.621437;0.000000;0.000000;0.553188;0.230769;0.230769;0.212415;0.153846;0.230769;48.331953
0.307692;0.230769;17.432952;0.538462;0.384615;1.381616;0.461538;0.461538;6.000000;0.153846;0.076923;5.153353;0.153846;0.153846;42.320000;0.461538;0.538462;451.080000;0.153846;0.153846;7.619257;0.692308;0.846154;0.613794;0.153846;0.153846;9.859419;0.384615;0.153846;12.518002;0.307692;0.230769;11.048341;0.384615;0.384615;13.535033;0.153846;0.153846;0.596132;0.153846;0.153846;0.536459;0.153846;0.153846;0.223277;0.153846;0.153846;49.175632
0.384615;0.000000;16.147122;0.461538;0.384615;1.000863;0.538462;0.538462;24.000000;0.153846;0.153846;4.852992;0.461538;0.461539;47.990000;0.461538;0.461539;426.663000;0.307692;0.307692;7.716025;0.615385;0.846154;0.614081;0.230769;0.230769;10.832245;0.307692;0.307692;13.575225;0.384615;0.384615;12.795579;0.307692;0.230769;13.667644;0.230769;0.230769;0.603043;0.230769;0.230769;0.555340;0.230769;0.230769;0.213199;0.230769;0.153846;47.369877
0.230769;0.846154;15.140714;0.153846;0.153846;1.836594;0.153846;0.153846;22.000000;0.230769;0.307692;6.198957;0.384615;0.384615;41.102000;0.307692;0.307692;445.887000;0.230769;0.230769;7.812472;0.923077;1.307692;0.629823;0.230769;0.153846;10.793096;0.230769;0.230769;12.848153;0.230769;0.230769;12.588346;0.230769;0.230769;13.811831;0.230769;0.230769;0.614952;0.230769;0.230769;0.559744;0.230769;0.230769;0.261705;0.307692;0.230769;49.050227
0.000000;0.153846;14.725934;0.307692;0.153846;1.093673;0.230769;0.230769;78.000000;0.230769;0.230769;6.353612;0.307692;0.307692;44.178000;0.461538;0.461539;404.813000;0.384615;0.384615;7.853553;0.923077;1.307692;0.582179;0.307692;0.153846;10.131395;0.153846;0.153846;15.343417;0.000000;0.000000;15.504117;0.153846;0.153846;13.567557;0.307692;0.230769;0.642070;0.307692;0.307692;1.215046;0.461538;0.461538;0.240121;0.307692;0.153846;47.860397
0.769231;0.307692;14.307190;0.769231;0.692308;1.220948;0.384615;0.384615;6.000000;0.461538;0.461538;5.724384;0.538462;0.384615;46.632000;0.461538;0.538462;429.788000;0.384615;0.384615;7.910889;0.846154;1.153846;0.600175;0.461538;0.461538;10.146152;0.538462;0.615385;12.171703;0.769231;0.846154;12.368630;0.538462;0.538462;13.555083;0.461538;0.461538;0.602998;0.461538;0.461538;0.542602;0.615385;0.615385;0.229596;0.384615;0.461538;49.162522
0.153846;0.153846;20.121493;0.307692;0.538462;1.595485;0.538462;0.538462;45.000000;0.230769;0.153846;6.156839;0.230769;0.230769;46.359000;0.461538;0.538462;415.145000;0.230769;0.230769;8.387572;0.538462;0.615385;0.608974;0.153846;0.153846;10.810668;0.153846;0.153846;12.238825;0.153846;0.153846;14.784273;0.153846;0.153846;13.716344;0.153846;0.153846;0.598639;0.153846;0.153846;0.547357;0.307692;0.307692;0.231973;0.230769;0.230769;49.603267
