;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.384000;0.412000;55.342625;0.416000;0.460000;5.224010;0.448000;0.460000;6136.000000;0.508000;0.560000;712.435196;0.428000;0.440000;584.768000;0.424000;0.448000;2760.867000;0.432000;0.444000;46.954055;0.484000;0.500000;0.442948;0.452000;0.440000;1966.269620;0.404000;0.416000;39.461397;0.384000;0.404000;64.706266;0.420000;0.416000;111.380747;0.444000;0.460000;778.101380;0.456000;0.468000;12.958019;0.456000;0.468000;12.958019;0.440000;0.492000;135.326711
0.400000;0.436000;63.773660;0.392000;0.440000;6.711556;0.392000;0.412000;6742.000000;0.492000;0.572000;704.307868;0.388000;0.408000;572.630000;0.412000;0.444000;2765.566000;0.408000;0.432000;46.413168;0.432000;0.460000;0.433356;0.396000;0.388000;1555.055259;0.384000;0.404000;32.965259;0.404000;0.480000;62.612964;0.396000;0.416000;110.484337;0.420000;0.440000;754.827985;0.392000;0.416000;14.657891;0.392000;0.416000;14.657891;0.404000;0.428000;131.928688
0.480000;0.520000;62.452712;0.436000;0.468000;4.728485;0.472000;0.500000;7853.000000;0.500000;0.560000;681.713643;0.440000;0.464000;370.360000;0.496000;0.544000;2771.172000;0.428000;0.456000;47.992304;0.452000;0.472000;0.446315;0.436000;0.468000;2236.605562;0.452000;0.476000;34.625994;0.468000;0.548000;56.489941;0.476000;0.484000;111.247901;0.476000;0.456000;752.965678;0.452000;0.464000;13.068035;0.452000;0.464000;13.068035;0.468000;0.480000;133.844960
0.448000;0.472000;65.098424;0.440000;0.456000;5.952717;0.428000;0.456000;11197.000000;0.520000;0.544000;680.394061;0.432000;0.448000;573.649000;0.492000;0.460000;2792.486000;0.432000;0.452000;48.677116;0.412000;0.436000;0.477877;0.408000;0.420000;1706.230515;0.400000;0.440000;34.369587;0.460000;0.508000;57.691515;0.428000;0.428000;113.314647;0.396000;0.420000;784.280915;0.416000;0.440000;12.230013;0.416000;0.440000;12.230013;0.436000;0.448000;135.427817
0.424000;0.500000;62.153563;0.460000;0.412000;5.785351;0.428000;0.436000;10388.000000;0.552000;0.584000;674.982877;0.428000;0.440000;525.875000;0.476000;0.484000;2749.870000;0.448000;0.468000;46.515921;0.432000;0.444000;0.427675;0.432000;0.464000;1795.125103;0.408000;0.400000;33.892360;0.424000;0.472000;62.367684;0.408000;0.428000;115.956562;0.420000;0.436000;776.893598;0.436000;0.448000;13.571321;0.436000;0.448000;13.571321;0.428000;0.436000;134.336259
0.460000;0.456000;55.989794;0.432000;0.468000;4.490214;0.436000;0.464000;16558.000000;0.520000;0.584000;720.130596;0.416000;0.448000;377.297000;0.456000;0.488000;2722.681000;0.456000;0.492000;48.212601;0.420000;0.444000;0.456820;0.432000;0.448000;1861.480139;0.428000;0.448000;35.352974;0.452000;0.480000;57.679925;0.416000;0.440000;111.083791;0.440000;0.472000;755.236426;0.444000;0.464000;11.153903;0.444000;0.464000;11.153903;0.452000;0.444000;132.607589
0.404000;0.460000;62.902702;0.412000;0.392000;6.186070;0.400000;0.412000;15711.000000;0.512000;0.604000;707.232044;0.392000;0.412000;572.810000;0.468000;0.512000;3085.345000;0.440000;0.460000;46.767751;0.400000;0.408000;0.544542;0.408000;0.408000;1961.548550;0.396000;0.392000;36.141439;0.440000;0.444000;58.235952;0.388000;0.404000;112.128586;0.420000;0.428000;757.408789;0.372000;0.380000;11.501542;0.372000;0.380000;11.501542;0.396000;0.416000;132.665510
0.416000;0.532000;66.676889;0.424000;0.396000;6.905206;0.388000;0.404000;12561.000000;0.508000;0.584000;716.109217;0.380000;0.408000;561.718000;0.496000;0.520000;2820.822000;0.428000;0.448000;46.451874;0.428000;0.432000;0.476008;0.400000;0.408000;1747.452057;0.376000;0.384000;41.863522;0.424000;0.452000;59.531198;0.408000;0.420000;110.826767;0.404000;0.416000;824.851670;0.424000;0.408000;11.506070;0.424000;0.408000;11.506070;0.428000;0.400000;132.093575
0.480000;0.484000;55.000972;0.448000;0.500000;6.903926;0.444000;0.452000;8344.000000;0.524000;0.560000;698.908716;0.496000;0.524000;568.413000;0.472000;0.512000;2747.072000;0.444000;0.476000;46.996846;0.476000;0.492000;0.528924;0.488000;0.496000;2312.477463;0.488000;0.488000;36.406096;0.476000;0.528000;60.826357;0.488000;0.536000;117.170404;0.472000;0.492000;754.073451;0.476000;0.492000;12.570733;0.476000;0.492000;12.570733;0.472000;0.440000;138.198771
0.448000;0.488000;62.453593;0.408000;0.412000;6.979010;0.400000;0.404000;11586.517241;0.508000;0.544000;953.203027;0.404000;0.420000;562.476000;0.404000;0.420000;2739.375000;0.428000;0.440000;47.958973;0.372000;0.380000;0.478579;0.400000;0.408000;2162.186747;0.400000;0.416000;40.858130;0.440000;0.436000;58.929097;0.392000;0.404000;109.924085;0.404000;0.412000;808.246286;0.404000;0.412000;10.751533;0.404000;0.412000;10.751533;0.396000;0.404000;135.332165
0.388000;0.540000;62.792387;0.408000;0.468000;3.941340;0.428000;0.456000;12513.000000;0.552000;0.640000;1096.608877;0.424000;0.460000;399.203000;0.432000;0.464000;2888.479000;0.416000;0.448000;46.411481;0.424000;0.452000;0.467637;0.424000;0.460000;2535.496263;0.448000;0.424000;33.182836;0.472000;0.436000;58.893697;0.420000;0.464000;112.325558;0.428000;0.436000;761.016177;0.416000;0.448000;11.628803;0.416000;0.448000;11.628803;0.424000;0.504000;134.158672
0.480000;0.512000;55.031643;0.492000;0.492000;6.543209;0.452000;0.468000;16366.000000;0.552000;0.616000;757.401794;0.484000;0.500000;404.699000;0.492000;0.520000;2737.503000;0.480000;0.504000;46.770510;0.472000;0.492000;0.433306;0.480000;0.512000;1955.685206;0.500000;0.528000;33.067704;0.496000;0.508000;59.026864;0.488000;0.496000;108.495131;0.480000;0.512000;751.904801;0.476000;0.496000;14.708485;0.476000;0.496000;14.708485;0.492000;0.512000;134.975452
0.376000;0.408000;59.758379;0.396000;0.420000;5.749210;0.408000;0.412000;18194.000000;0.476000;0.536000;708.712849;0.376000;0.404000;558.269000;0.412000;0.444000;2814.281000;0.416000;0.432000;47.339846;0.420000;0.424000;0.482253;0.416000;0.420000;1651.197892;0.364000;0.372000;35.837513;0.368000;0.400000;62.418452;0.400000;0.384000;118.704401;0.412000;0.416000;796.648709;0.416000;0.444000;10.981342;0.416000;0.444000;10.981342;0.424000;0.440000;138.869828
