;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.447368;0.500000;15.698740;0.684211;0.815789;3.080685;0.710526;1.078947;48.000000;0.394737;0.447368;69.566632;0.447368;0.605263;144.165000;0.473684;0.657895;1284.886000;0.394737;0.526316;18.587749;0.500000;0.684211;1.316336;0.394737;0.421053;13.585769;0.447368;0.447368;12.935157;0.447368;0.500000;17.065359;0.421053;0.500000;17.932039;0.394737;0.421053;4.235461;0.394737;0.421053;13.457201;0.552632;0.605263;0.723503;0.394737;0.473684;49.652486
0.368421;0.342105;15.839757;0.421053;0.526316;1.913675;0.657895;0.868421;109.000000;0.421053;0.394737;68.470713;0.368421;0.526316;129.979000;0.315789;0.421053;1136.151000;0.394737;0.526316;18.030527;0.447368;0.578947;1.245910;0.263158;0.394737;19.562453;0.394737;0.552632;14.612383;0.368421;0.552632;13.879814;0.447368;0.447368;17.083993;0.289474;0.394737;4.110431;0.263158;0.447368;15.655046;0.473684;0.526316;0.598015;0.368421;0.394737;50.205621
0.368421;0.447368;15.107747;0.421053;0.684211;3.594954;0.684211;1.026316;124.000000;0.447368;0.526316;71.142405;0.447368;0.500000;123.830000;0.473684;0.500000;1280.298000;0.368421;0.421053;18.678015;0.552632;0.578947;1.295521;0.500000;0.578947;22.316729;0.500000;0.684211;13.268104;0.421053;0.500000;15.711580;0.421053;0.500000;17.916021;0.473684;0.578947;3.969008;0.473684;0.578947;12.459165;0.526316;0.578947;0.609134;0.447368;0.552632;52.641860
0.421053;0.578947;12.974408;0.394737;0.736842;2.160454;0.684211;0.684211;52.000000;0.394737;0.500000;71.725497;0.500000;0.736842;135.819000;0.342105;0.421053;1179.647000;0.394737;0.605263;18.326725;0.447368;0.631579;1.531061;0.315789;0.500000;16.072164;0.421053;0.657895;13.578373;0.447368;0.578947;14.210330;0.447368;0.605263;18.333326;0.342105;0.526316;3.748516;0.315789;0.447368;12.411813;0.421053;0.552632;0.495890;0.342105;0.578947;52.098814
0.394737;0.500000;18.075449;0.500000;0.578947;3.534342;0.657895;0.684211;83.000000;0.421053;0.421053;70.432729;0.447368;0.605263;125.886000;0.394737;0.473684;1371.366000;0.447368;0.552632;19.417391;0.447368;0.526316;1.285120;0.473684;0.421053;18.201764;0.447368;0.578947;14.468018;0.447368;0.578947;14.102063;0.473684;0.710526;19.130854;0.473684;0.421053;3.552086;0.473684;0.552632;14.723101;0.526316;0.605263;0.750642;0.368421;0.421053;49.909298
0.447368;0.526316;13.705723;0.526316;0.815789;2.574944;0.763158;1.131579;215.000000;0.473684;0.500000;70.783063;0.500000;0.657895;155.082000;0.447368;0.631579;1130.693000;0.368421;0.473684;18.730103;0.605263;0.763158;1.163902;0.473684;0.500000;16.646909;0.473684;0.578947;14.098930;0.447368;0.526316;14.565034;0.421053;0.500000;18.453953;0.473684;0.500000;3.800265;0.473684;0.526316;13.422757;0.473684;0.605263;0.649982;0.421053;0.473684;51.055145
0.421053;0.526316;15.042569;0.421053;0.315789;2.970546;0.789474;1.184211;58.000000;0.447368;0.526316;69.802928;0.394737;0.526316;119.807000;0.526316;0.605263;1177.937000;0.447368;0.578947;18.705155;0.552632;0.710526;1.170674;0.447368;0.500000;14.510557;0.447368;0.552632;15.515584;0.421053;0.394737;15.474667;0.473684;0.421053;17.833018;0.500000;0.552632;4.075306;0.500000;0.526316;14.462751;0.500000;0.605263;0.863985;0.447368;0.500000;51.653417
0.289474;0.473684;15.258306;0.421053;0.605263;3.878306;0.710526;0.736842;55.000000;0.394737;0.394737;66.755212;0.342105;0.578947;178.800000;0.500000;0.631579;1211.806000;0.368421;0.421053;18.471951;0.447368;0.526316;1.272467;0.263158;0.421053;14.652429;0.342105;0.473684;14.487922;0.394737;0.500000;14.874154;0.368421;0.473684;18.907322;0.289474;0.421053;4.102297;0.289474;0.368421;15.988978;0.394737;0.447368;0.656527;0.342105;0.500000;52.624241
0.447368;0.473684;17.299693;0.500000;0.684211;2.335688;0.657895;0.657895;153.000000;0.447368;0.578947;71.584260;0.473684;0.631579;119.267000;0.552632;0.868421;1227.018000;0.447368;0.631579;19.286546;0.657895;0.973684;1.295068;0.421053;0.473684;30.785873;0.500000;0.500000;14.808045;0.500000;0.473684;15.559966;0.473684;0.473684;21.130300;0.447368;0.447368;4.004090;0.473684;0.447368;15.710136;0.526316;0.605263;0.660559;0.473684;0.526316;52.759247
