;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.053333;0.053333;11.138951;0.080000;0.120000;2.011434;0.053333;0.053333;89.000000;0.080000;0.160000;334.238961;0.040000;0.053333;43.156000;0.080000;0.080000;400.966000;0.080000;0.080000;29.761227;0.706667;0.973333;0.284689;0.706667;0.973333;0.284689;0.013333;0.053333;12.698742;0.093333;0.080000;28.045826;0.013333;0.013333;7.943607;0.013333;0.013333;15.847082;0.013333;0.013333;15.847082;0.733333;0.946667;13.354878;0.026667;0.026667;83.122786
0.120000;0.120000;11.349896;0.093333;0.146667;2.216056;0.040000;0.040000;236.000000;0.080000;0.080000;103.017327;0.093333;0.093333;47.344000;0.040000;0.040000;401.778000;0.013333;0.013333;29.967317;0.680000;0.973333;0.300547;0.680000;0.973333;0.300547;0.106667;0.106667;15.816165;0.080000;0.120000;27.630595;0.026667;0.026667;8.414876;0.026667;0.026667;16.358034;0.026667;0.026667;16.358034;0.733333;0.946667;12.563333;0.053333;0.026667;79.700312
0.066667;0.066667;18.864600;0.093333;0.053333;2.394064;0.040000;0.040000;226.000000;0.133333;0.120000;99.670933;0.053333;0.053333;47.644000;0.160000;0.160000;390.653000;0.066667;0.066667;30.163287;0.746667;1.066667;0.265455;0.746667;1.066667;0.265455;0.040000;0.093333;16.737976;0.053333;0.053333;30.302726;0.000000;0.000000;8.062757;0.000000;0.000000;14.843786;0.000000;0.000000;14.843786;0.733333;0.946667;11.498674;0.093333;0.053333;85.048409
0.053333;0.053333;17.202346;0.093333;0.093333;2.558923;0.080000;0.080000;446.000000;0.133333;0.133333;97.655913;0.080000;0.080000;50.373000;0.066667;0.066667;402.005000;0.093333;0.093333;29.660637;0.693333;1.040000;0.280989;0.693333;1.040000;0.280989;0.053333;0.053333;14.424855;0.093333;0.093333;30.200581;0.000000;0.000000;7.555135;0.000000;0.000000;15.845163;0.000000;0.000000;15.845163;0.733333;0.946667;7.968691;0.120000;0.120000;81.055437
0.040000;0.040000;17.474162;0.133333;0.106667;3.043527;0.026667;0.026667;75.000000;0.120000;0.133333;97.467856;0.040000;0.013333;48.845000;0.066667;0.066667;397.739000;0.026667;0.026667;29.724987;0.706667;1.013333;0.299746;0.706667;1.013333;0.299746;0.040000;0.093333;14.403825;0.120000;0.066667;26.861510;0.013333;0.013333;8.188830;0.013333;0.013333;16.856389;0.013333;0.013333;16.856389;0.746667;0.973333;13.994511;0.013333;0.026667;83.170782
0.013333;0.013333;36.641036;0.093333;0.053333;3.001646;0.026667;0.026667;90.000000;0.120000;0.120000;102.090792;0.000000;0.000000;58.219000;0.026667;0.026667;392.558000;0.000000;0.000000;29.171869;0.733333;1.000000;0.330429;0.733333;1.000000;0.330429;0.053333;0.053333;15.798315;0.080000;0.080000;27.334073;0.000000;0.000000;7.978035;0.000000;0.000000;16.583356;0.000000;0.000000;16.583356;0.733333;0.946667;12.916178;0.093333;0.040000;80.239982
0.053333;0.053333;17.980162;0.026667;0.053333;3.209717;0.013333;0.013333;41.000000;0.080000;0.093333;97.695581;0.013333;0.013333;58.682000;0.120000;0.120000;389.404000;0.080000;0.080000;29.312717;0.693333;0.973333;0.288032;0.693333;0.973333;0.288032;0.026667;0.066667;18.759410;0.026667;0.053333;27.323539;0.013333;0.013333;7.917329;0.013333;0.013333;15.878106;0.013333;0.013333;15.878106;0.733333;0.946667;10.977841;0.040000;0.053333;83.000393
0.053333;0.053333;15.482560;0.080000;0.080000;3.048167;0.026667;0.026667;107.000000;0.146667;0.133333;97.126090;0.106667;0.106667;56.079000;0.080000;0.080000;393.551000;0.026667;0.026667;30.012128;0.760000;1.040000;0.278170;0.760000;1.040000;0.278170;0.080000;0.080000;13.127845;0.093333;0.093333;26.715453;0.013333;0.013333;7.894085;0.013333;0.013333;15.825025;0.013333;0.013333;15.825025;0.733333;0.946667;11.839551;0.106667;0.106667;85.548565
0.040000;0.040000;17.823549;0.040000;0.026667;2.295588;0.013333;0.013333;104.000000;0.133333;0.133333;99.827392;0.066667;0.066667;62.741000;0.026667;0.026667;401.282000;0.026667;0.026667;30.385537;0.706667;0.973333;0.307241;0.706667;0.973333;0.307241;0.040000;0.026667;13.052697;0.026667;0.026667;27.427728;0.013333;0.013333;7.906526;0.013333;0.013333;16.500521;0.013333;0.013333;16.500521;0.733333;0.946667;11.634728;0.066667;0.066667;82.832837
0.080000;0.080000;11.589874;0.093333;0.093333;3.311477;0.040000;0.040000;151.758621;0.093333;0.173333;104.360997;0.053333;0.053333;55.320000;0.093333;0.093333;409.209000;0.080000;0.080000;29.297848;0.680000;1.000000;0.301988;0.680000;1.000000;0.301988;0.080000;0.040000;18.890810;0.066667;0.066667;27.738779;0.026667;0.026667;7.862483;0.026667;0.026667;15.725568;0.026667;0.026667;15.725568;0.746667;0.973333;12.663647;0.080000;0.080000;78.714011
0.000000;0.000000;10.935017;0.026667;0.053333;1.884270;0.040000;0.040000;117.000000;0.066667;0.120000;101.793387;0.106667;0.106667;68.326000;0.053333;0.053333;408.930000;0.066667;0.066667;29.778586;0.706667;0.946667;0.329549;0.706667;0.946667;0.329549;0.026667;0.026667;13.059170;0.040000;0.040000;27.580012;0.000000;0.000000;7.959186;0.000000;0.000000;15.686076;0.000000;0.000000;15.686076;0.733333;0.946667;12.544961;0.026667;0.026667;80.014577
0.053333;0.053333;12.164685;0.066667;0.120000;1.523784;0.053333;0.053333;100.000000;0.160000;0.080000;104.172041;0.040000;0.040000;66.861000;0.053333;0.053333;405.265000;0.040000;0.040000;29.556645;0.680000;0.906667;0.290135;0.680000;0.906667;0.290135;0.040000;0.040000;17.239962;0.040000;0.040000;26.616200;0.013333;0.013333;8.188238;0.013333;0.013333;16.190420;0.013333;0.013333;16.190420;0.733333;0.946667;13.209003;0.040000;0.040000;82.881159
0.026667;0.093333;11.027022;0.066667;0.093333;2.303186;0.053333;0.053333;90.000000;0.080000;0.093333;99.625221;0.040000;0.040000;65.898000;0.040000;0.040000;396.901000;0.053333;0.053333;30.067317;0.706667;1.013333;0.290664;0.706667;1.013333;0.290664;0.040000;0.040000;16.815597;0.053333;0.053333;27.163766;0.026667;0.026667;8.515091;0.026667;0.026667;16.508695;0.026667;0.026667;16.508695;0.733333;0.960000;12.615766;0.040000;0.040000;77.920761
0.053333;0.053333;34.655765;0.106667;0.080000;2.758383;0.080000;0.080000;248.000000;0.040000;0.093333;100.840720;0.120000;0.120000;55.309000;0.053333;0.053333;393.835000;0.053333;0.053333;30.113125;0.706667;0.960000;0.285693;0.706667;0.960000;0.285693;0.053333;0.053333;13.342346;0.080000;0.093333;26.661034;0.053333;0.053333;7.969164;0.053333;0.053333;16.157297;0.053333;0.053333;16.157297;0.733333;0.946667;12.696231;0.040000;0.040000;80.165440
0.013333;0.013333;34.980619;0.053333;0.080000;2.632614;0.040000;0.040000;43.000000;0.146667;0.106667;103.955177;0.013333;0.013333;53.650000;0.040000;0.040000;396.598000;0.000000;0.000000;29.746095;0.720000;0.946667;0.277018;0.720000;0.946667;0.277018;0.026667;0.026667;12.606730;0.040000;0.040000;26.839113;0.026667;0.026667;8.126670;0.026667;0.026667;16.023565;0.026667;0.026667;16.023565;0.733333;0.946667;12.372719;0.026667;0.026667;79.141302
0.080000;0.080000;15.527228;0.106667;0.106667;2.368434;0.026667;0.026667;79.000000;0.133333;0.133333;98.635593;0.080000;0.080000;64.273000;0.093333;0.133333;400.143000;0.080000;0.080000;29.456401;0.746667;1.000000;0.280130;0.746667;1.000000;0.280130;0.080000;0.080000;14.323641;0.093333;0.093333;27.575860;0.013333;0.013333;8.221956;0.013333;0.013333;16.755280;0.013333;0.013333;16.755280;0.733333;0.946667;12.272145;0.093333;0.066667;81.154649
