;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.392500;0.412500;215.697133;0.407500;0.450000;7.100456;0.410000;0.450000;39689.000000;0.342500;0.385000;3334.815225;0.402500;0.465000;2237.741000;0.427500;0.452500;8075.624000;0.307500;0.350000;174.171734;0.407500;0.445000;0.700013;0.395000;0.455000;331.849647;0.395000;0.427500;101.481261;0.375000;0.415000;245.330167;0.355000;0.405000;565.150055;0.392500;0.460000;1855.295142;0.392500;0.442500;2449.645826;0.430000;0.477500;51.569231;0.385000;0.430000;583.470920
0.352500;0.387500;242.641440;0.380000;0.412500;8.930705;0.382500;0.417500;41524.000000;0.335000;0.367500;3121.299292;0.377500;0.390000;2237.717000;0.400000;0.437500;8182.196000;0.290000;0.312500;175.680096;0.402500;0.432500;0.770109;0.347500;0.387500;408.202739;0.340000;0.377500;101.484513;0.355000;0.410000;246.124650;0.360000;0.382500;562.662128;0.342500;0.380000;1852.773059;0.347500;0.387500;1298.211053;0.405000;0.440000;50.785389;0.347500;0.377500;591.947754
0.337500;0.427500;245.389257;0.397500;0.430000;8.332508;0.395000;0.425000;60951.000000;0.332500;0.377500;2876.566618;0.400000;0.425000;2210.751000;0.407500;0.437500;8132.331000;0.322500;0.352500;184.819735;0.412500;0.445000;0.709634;0.332500;0.380000;392.182565;0.307500;0.397500;99.789105;0.337500;0.407500;242.866543;0.315000;0.377500;569.647139;0.332500;0.380000;1864.141728;0.332500;0.397500;2594.854211;0.407500;0.437500;61.864856;0.335000;0.397500;586.763835
0.357500;0.425000;137.877405;0.397500;0.455000;6.396906;0.392500;0.417500;32220.000000;0.345000;0.392500;3120.116007;0.375000;0.410000;2282.821000;0.392500;0.440000;8030.747000;0.315000;0.347500;175.343379;0.400000;0.440000;0.783432;0.382500;0.402500;375.066120;0.342500;0.420000;101.947703;0.357500;0.417500;240.604984;0.357500;0.397500;565.695727;0.362500;0.402500;1878.883382;0.380000;0.420000;1144.694366;0.402500;0.442500;61.071408;0.380000;0.407500;579.497146
0.357500;0.387500;138.040081;0.405000;0.417500;8.009609;0.390000;0.417500;44417.000000;0.367500;0.400000;3263.072650;0.425000;0.450000;2250.274000;0.410000;0.452500;8118.180000;0.332500;0.355000;174.855517;0.402500;0.430000;0.784082;0.342500;0.402500;375.837633;0.340000;0.390000;100.300135;0.345000;0.402500;245.007592;0.360000;0.407500;569.967407;0.377500;0.407500;1989.101200;0.342500;0.375000;1154.049471;0.422500;0.447500;64.962501;0.367500;0.402500;586.226488
0.345000;0.402500;246.795867;0.370000;0.405000;7.875489;0.375000;0.397500;35374.000000;0.360000;0.405000;3027.474371;0.417500;0.450000;2315.673000;0.380000;0.410000;8242.543000;0.312500;0.342500;173.648106;0.385000;0.420000;0.706131;0.380000;0.402500;388.208011;0.352500;0.392500;99.194865;0.345000;0.397500;250.721052;0.360000;0.415000;571.043463;0.377500;0.405000;1790.809927;0.380000;0.395000;1256.923571;0.390000;0.425000;50.481254;0.387500;0.405000;584.155557
0.405000;0.462500;137.715826;0.422500;0.462500;7.234476;0.415000;0.445000;59676.000000;0.372500;0.412500;3083.187957;0.430000;0.480000;2236.379000;0.405000;0.455000;8077.506000;0.370000;0.395000;184.223689;0.437500;0.477500;0.770898;0.407500;0.442500;340.105257;0.357500;0.400000;104.717449;0.412500;0.465000;244.294820;0.392500;0.432500;558.256828;0.405000;0.440000;1794.957245;0.415000;0.450000;969.249970;0.432500;0.477500;50.980576;0.400000;0.442500;600.745599
0.365000;0.395000;607.919493;0.372500;0.397500;7.355083;0.360000;0.390000;32700.000000;0.350000;0.400000;2914.606162;0.397500;0.457500;2211.806000;0.385000;0.435000;8166.647000;0.327500;0.367500;173.236552;0.382500;0.415000;0.807898;0.350000;0.407500;332.974699;0.330000;0.400000;97.612451;0.362500;0.392500;250.729671;0.332500;0.387500;564.332821;0.357500;0.402500;1862.429279;0.362500;0.405000;1040.750855;0.385000;0.417500;46.224273;0.347500;0.397500;598.291402
0.347500;0.397500;613.986773;0.392500;0.400000;8.630573;0.385000;0.420000;35866.000000;0.342500;0.415000;2878.853958;0.420000;0.422500;2231.723000;0.412500;0.437500;8011.459000;0.347500;0.375000;185.665722;0.390000;0.432500;0.734836;0.355000;0.400000;375.657995;0.350000;0.377500;101.935130;0.342500;0.410000;248.036716;0.337500;0.370000;571.480026;0.355000;0.415000;1938.049331;0.355000;0.400000;1163.278559;0.390000;0.432500;48.109911;0.362500;0.410000;607.532943
0.360000;0.405000;651.591862;0.390000;0.430000;8.314933;0.385000;0.410000;48272.862069;0.372500;0.420000;3117.892008;0.380000;0.417500;2231.949000;0.427500;0.475000;8385.731000;0.342500;0.382500;187.131615;0.407500;0.442500;0.766264;0.367500;0.397500;348.275662;0.372500;0.397500;109.114016;0.360000;0.407500;249.901159;0.367500;0.435000;571.200374;0.375000;0.407500;1840.406501;0.380000;0.400000;1254.450924;0.400000;0.437500;48.386399;0.387500;0.417500;597.781389
